"","",""
"Abies","fir","TN(Carter, Sevier)"
"Maianthemum canadense","Canada mayflower","TN(Blount, Carter, Greene, Johnson, Monroe, Polk, Sevier, Unicoi)"
"Maianthemum racemosum","feathery false lily of the valley","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Grainger, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hawkins, Henry, Hickman, Houston, Johnson, Knox, Lauderdale, Lewis, Lincoln, Loudon, Macon, Madison, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sequatchie, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Washington, Wayne, White, Williamson, Wilson)"
"Maianthemum racemosum ssp. racemosum","feathery false lily of the valley","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Grainger, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hawkins, Henry, Hickman, Houston, Johnson, Knox, Lauderdale, Lewis, Lincoln, Loudon, Macon, Madison, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sequatchie, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Washington, Wayne, White, Williamson, Wilson)"
"Maianthemum stellatum","starry false lily of the valley","TN(Pickett, Sullivan)"
"Malaxis","adder's-mouth orchid","TN(Blount, Carter, Coffee, Cumberland, Dickson, Fayette, Fentress, Franklin, Grundy, Hickman, Johnson, Lincoln, McMinn, McNairy, Monroe, Morgan, Polk, Rhea, Roane, Sevier, Unicoi, Union, Warren, White)"
"Malaxis unifolia","green adder's-mouth orchid","TN(Blount, Carter, Coffee, Cumberland, Dickson, Fayette, Fentress, Franklin, Grundy, Hickman, Johnson, Lincoln, McMinn, McNairy, Monroe, Morgan, Polk, Rhea, Roane, Sevier, Unicoi, Union, Warren, White)"
"Malus","apple","TN(Benton, Bledsoe, Blount, Campbell, Carroll, Cheatham, Coffee, Cumberland, Davidson, Dickson, Fayette, Fentress, Franklin, Grundy, Hamilton, Hardin, Hawkins, Henry, Hickman, Humphreys, Jefferson, Johnson, Knox, Lawrence, Lewis, Lincoln, Marion, Montgomery, Morgan, Polk, Rhea, Roane, Sequatchie, Sevier, Stewart, Sumner, Tipton, Van Buren, Wayne)"
"Malus angustifolia","southern crab apple","TN(Bledsoe, Blount, Carroll, Cheatham, Coffee, Cumberland, Davidson, Dickson, Fayette, Franklin, Grundy, Hamilton, Hardin, Hawkins, Hickman, Humphreys, Jefferson, Johnson, Lawrence, Lewis, Lincoln, Marion, Montgomery, Morgan, Polk, Rhea, Sequatchie, Sevier, Stewart, Tipton, Van Buren)"
"Malus angustifolia var. angustifolia","southern crab apple","TN(Bledsoe, Blount, Carroll, Cheatham, Coffee, Cumberland, Davidson, Dickson, Fayette, Franklin, Grundy, Hamilton, Hardin, Hawkins, Hickman, Humphreys, Jefferson, Johnson, Lawrence, Lewis, Lincoln, Marion, Montgomery, Morgan, Polk, Rhea, Sequatchie, Sevier, Stewart, Tipton, Van Buren)"
"Malus coronaria","sweet crab apple","TN(Benton, Bledsoe, Campbell, Cumberland, Dickson, Fentress, Henry, Johnson, Lawrence, Montgomery, Stewart, Wayne)"
"Malus pumila","paradise apple","TN(Campbell, Dickson, Hardin, Henry, Knox, Rhea, Roane, Sevier, Stewart, Sumner)"
"Malva","mallow","TN(Anderson, Blount, Carter, Cheatham, Davidson, Greene, Hawkins, Johnson, Knox, Lake, Lewis, Montgomery, Rutherford, Stewart, Unicoi, Williamson)"
"Malva moschata","musk mallow","TN(Johnson)"
"Malva neglecta","common mallow","TN(Carter, Cheatham, Davidson, Greene, Hawkins, Knox, Lake, Rutherford, Williamson)"
"Malva pusilla","low mallow","TN(Davidson, Rutherford)"
"Malva sylvestris","high mallow","TN(Anderson, Blount, Lewis, Montgomery, Stewart, Unicoi)"
"Malvastrum","false mallow","TN(Bedford, Davidson, Marshall, Maury, Rutherford, Sumner, Trousdale, Williamson, Wilson)"
"Malvastrum hispidum","hispid false mallow","TN(Bedford, Davidson, Marshall, Maury, Rutherford, Sumner, Trousdale, Williamson, Wilson)"
"Manfreda","tuberose","TN(Benton, Bledsoe, Blount, Campbell, Carroll, Cheatham, Coffee, Davidson, Decatur, Dickson, Fayette, Franklin, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Hickman, Houston, Knox, Lewis, Loudon, Marion, Marshall, Maury, Meigs, Montgomery, Rhea, Rutherford, Sequatchie, Shelby, Smith, Stewart, Sumner, Tipton, Union, Warren, Wayne, Wilson)"
"Manfreda virginica","false aloe","TN(Benton, Bledsoe, Blount, Campbell, Carroll, Cheatham, Coffee, Davidson, Decatur, Dickson, Fayette, Franklin, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Hickman, Houston, Knox, Lewis, Loudon, Marion, Marshall, Maury, Meigs, Montgomery, Rhea, Rutherford, Sequatchie, Shelby, Smith, Stewart, Sumner, Tipton, Union, Warren, Wayne, Wilson)"
"Marrubium","horehound","TN(Anderson, Davidson, Giles, Hawkins, Jefferson, Marshall, Maury, Montgomery, Rutherford, Smith, Stewart, Trousdale, Wayne, Wilson)"
"Marrubium vulgare","horehound","TN(Anderson, Davidson, Giles, Hawkins, Jefferson, Marshall, Maury, Montgomery, Rutherford, Smith, Stewart, Trousdale, Wayne, Wilson)"
"Marshallia","Barbara's buttons","TN(Coffee, Cumberland, Grundy, Lewis, Morgan, Polk, Roane, Scott)"
"Marshallia grandiflora","Monongahela Barbara's buttons","TN(Cumberland, Morgan, Roane, Scott)"
"Marshallia obovata","spoonshape Barbara's buttons","TN(Polk)"
"Marshallia obovata var. obovata","spoonshape Barbara's buttons","TN(Polk)"
"Marshallia trinervia","broadleaf Barbara's buttons","TN(Coffee, Grundy, Lewis)"
"Matelea","milkvine","TN(Anderson, Blount, Carroll, Claiborne, Clay, Davidson, DeKalb, Decatur, Dickson, Franklin, Giles, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Hickman, Houston, Jackson, Knox, Lake, Lawrence, Lewis, Macon, Marion, Marshall, Maury, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Putnam, Roane, Robertson, Rutherford, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Van Buren, Warren, Washington, White, Williamson, Wilson)"
"Matelea carolinensis","maroon Carolina milkvine","TN(Clay, Davidson, DeKalb, Franklin, Grundy, Hamilton, Hardin, Jackson, Lawrence, Marion, Marshall, Maury, Overton, Rutherford, Stewart, Trousdale, Warren, Williamson, Wilson)"
"Matelea gonocarpos","angularfruit milkvine","TN(Anderson, Blount, Carroll, Davidson, DeKalb, Decatur, Dickson, Franklin, Giles, Hamilton, Hardeman, Hardin, Haywood, Hickman, Houston, Jackson, Knox, Lake, Lawrence, Lewis, Macon, Marion, Monroe, Montgomery, Obion, Putnam, Roane, Robertson, Rutherford, Shelby, Smith, Stewart, Sumner, Tipton, Van Buren, Washington, White, Williamson, Wilson)"
"Matelea obliqua","climbing milkvine","TN(Anderson, Blount, Carroll, Claiborne, Davidson, Decatur, Hamblen, Hamilton, Hawkins, Knox, Maury, Meigs, Monroe, Montgomery, Morgan, Perry, Stewart)"
"Matricaria","mayweed","TN(Davidson, Greene, Knox, Lauderdale, Lawrence, Montgomery, Sevier, Shelby, Sumner)"
"Matricaria discoidea","disc mayweed","TN(Davidson, Greene, Knox, Lauderdale, Montgomery, Sevier, Shelby, Sumner)"
"Matricaria recutita","German chamomile","TN(Davidson, Lawrence, Shelby)"
"Mazus","mazus","TN(Davidson, Knox, Monroe, Obion, Sevier, Shelby)"
"Mazus pumilus","Japanese mazus","TN(Davidson, Knox, Monroe, Obion, Sevier, Shelby)"
"Mecardonia","mecardonia","TN(Bedford, Benton, Bradley, Cheatham, Coffee, Davidson, Decatur, Franklin, Grundy, Hamilton, Hardin, Haywood, Henderson, Henry, Humphreys, Lawrence, Lewis, Macon, Marshall, Maury, McNairy, Meigs, Montgomery, Moore, Morgan, Obion, Perry, Rhea, Roane, Rutherford, Sequatchie, Shelby, Warren, Weakley, Wilson)"
"Mecardonia acuminata","axilflower","TN(Bedford, Benton, Bradley, Cheatham, Coffee, Davidson, Decatur, Franklin, Grundy, Hamilton, Hardin, Haywood, Henderson, Henry, Humphreys, Lawrence, Lewis, Macon, Marshall, Maury, McNairy, Meigs, Montgomery, Moore, Morgan, Obion, Perry, Rhea, Roane, Rutherford, Sequatchie, Shelby, Warren, Weakley, Wilson)"
"Mecardonia acuminata var. acuminata","axilflower","TN(Bedford, Benton, Bradley, Cheatham, Coffee, Davidson, Decatur, Franklin, Grundy, Hamilton, Hardin, Haywood, Henderson, Henry, Humphreys, Lawrence, Lewis, Macon, Marshall, Maury, McNairy, Meigs, Montgomery, Moore, Morgan, Obion, Perry, Rhea, Roane, Rutherford, Sequatchie, Shelby, Warren, Weakley, Wilson)"
"Medeola","Indian cucumber","TN(Anderson, Bledsoe, Blount, Campbell, Coffee, Cumberland, DeKalb, Fentress, Franklin, Grainger, Grundy, Hardeman, Hardin, Henderson, Henry, Jefferson, Johnson, Monroe, Morgan, Pickett, Polk, Putnam, Rhea, Roane, Scott, Sequatchie, Sevier, Sullivan, Unicoi, Van Buren, Washington, White)"
"Medeola virginiana","Indian cucumber","TN(Anderson, Bledsoe, Blount, Campbell, Coffee, Cumberland, DeKalb, Fentress, Franklin, Grainger, Grundy, Hardeman, Hardin, Henderson, Henry, Jefferson, Johnson, Monroe, Morgan, Pickett, Polk, Putnam, Rhea, Roane, Scott, Sequatchie, Sevier, Sullivan, Unicoi, Van Buren, Washington, White)"
"Medicago","alfalfa","TN(Bedford, Bledsoe, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Coffee, Cumberland, Davidson, Dickson, Greene, Grundy, Hamilton, Houston, Humphreys, Jackson, Jefferson, Knox, Madison, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Van Buren, Warren, Washington, Wayne, Williamson, Wilson)"
"Medicago arabica","spotted medick","TN(Shelby, Trousdale)"
"Medicago lupulina","black medick","TN(Bedford, Bledsoe, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Davidson, Greene, Hamilton, Houston, Jackson, Jefferson, Knox, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Rhea, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Van Buren, Washington, Williamson, Wilson)"
"Medicago minima","little bur-clover","TN(Bedford, Maury)"
"Medicago orbicularis","blackdisk medick","TN(Greene, Knox, Marshall, Rutherford, Wilson)"
"Medicago sativa","alfalfa","TN(Blount, Carter, Coffee, Cumberland, Davidson, Dickson, Grundy, Humphreys, Knox, Madison, Meigs, Montgomery, Rutherford, Scott, Shelby, Stewart, Sumner, Tipton, Warren, Wayne, Williamson, Wilson)"
"Medicago sativa ssp. sativa","alfalfa","TN(Blount, Carter, Coffee, Cumberland, Davidson, Dickson, Grundy, Humphreys, Knox, Madison, Meigs, Montgomery, Rutherford, Scott, Shelby, Stewart, Sumner, Tipton, Warren, Wayne, Williamson, Wilson)"
"Meehania","meehania","TN(Anderson, Claiborne, Grainger, Hancock, Johnson, Sullivan)"
"Meehania cordata","Meehan's mint","TN(Anderson, Claiborne, Grainger, Hancock, Johnson, Sullivan)"
"Melampyrum","cowwheat","TN(Blount, Carter, Cocke, Fentress, Grundy, Monroe, Polk, Sevier, Sullivan, Unicoi, Washington, Wayne)"
"Melampyrum lineare","narrowleaf cowwheat","TN(Blount, Carter, Cocke, Fentress, Grundy, Monroe, Polk, Sevier, Sullivan, Unicoi, Washington, Wayne)"
"Melanthera","squarestem","TN(Decatur, Hardin, Humphreys, Shelby, Stewart)"
"Melanthera nivea","snow squarestem","TN(Decatur, Hardin, Humphreys, Shelby, Stewart)"
"Melia","melia","TN(Fayette, Shelby, Tipton, Union)"
"Melia azedarach","Chinaberrytree","TN(Fayette, Shelby, Tipton, Union)"
"Melica","melicgrass","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Cannon, Carroll, Cheatham, Claiborne, Cumberland, Davidson, Decatur, Dickson, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Humphreys, Knox, Lewis, Madison, Marion, Marshall, Maury, Meigs, Montgomery, Morgan, Overton, Perry, Polk, Putnam, Roane, Rutherford, Sevier, Shelby, Smith, Stewart, Sumner, Trousdale, Wayne, Wilson)"
"Melica mutica","twoflower melicgrass","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Cannon, Carroll, Cheatham, Claiborne, Cumberland, Davidson, Decatur, Dickson, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Humphreys, Knox, Lewis, Madison, Marion, Marshall, Maury, Meigs, Montgomery, Morgan, Overton, Perry, Polk, Roane, Rutherford, Sevier, Shelby, Stewart, Sumner, Trousdale, Wayne, Wilson)"
"Melica nitens","threeflower melicgrass","TN(Cumberland, Marshall, Maury, Putnam, Smith)"
"Melilotus","sweetclover","TN(Anderson, Blount, Cannon, Carter, Cheatham, Claiborne, Clay, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fentress, Franklin, Grainger, Greene, Grundy, Hardin, Hawkins, Houston, Knox, Lewis, Loudon, Maury, McMinn, McNairy, Montgomery, Morgan, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Williamson, Wilson)"
"Melilotus officinalis","sweetclover","TN(Anderson, Blount, Cannon, Carter, Cheatham, Claiborne, Clay, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fentress, Franklin, Grainger, Greene, Grundy, Hardin, Hawkins, Houston, Knox, Lewis, Loudon, Maury, McMinn, McNairy, Montgomery, Morgan, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Williamson, Wilson)"
"Melissa","balm","TN(Blount, Davidson, Grainger, Knox, McMinn, Montgomery, Sevier)"
"Melissa officinalis","common balm","TN(Blount, Davidson, Grainger, Knox, McMinn, Montgomery, Sevier)"
"Melothria","melothria","TN(Bledsoe, Blount, Chester, Davidson, DeKalb, Giles, Haywood, Henderson, Hickman, Johnson, Knox, Lake, Lewis, Montgomery, Obion, Rutherford, Sevier, Shelby, Stewart, Sullivan, Williamson)"
"Melothria pendula","Guadeloupe cucumber","TN(Bledsoe, Blount, Chester, Davidson, DeKalb, Giles, Haywood, Henderson, Hickman, Johnson, Knox, Lake, Lewis, Montgomery, Obion, Rutherford, Sevier, Shelby, Stewart, Sullivan, Williamson)"
"Melothria pendula var. pendula","Guadeloupe cucumber","TN(Bledsoe, Blount, Chester, Davidson, DeKalb, Giles, Haywood, Henderson, Hickman, Johnson, Knox, Lake, Lewis, Montgomery, Obion, Rutherford, Sevier, Shelby, Stewart, Sullivan, Williamson)"
"Menispermum","moonseed","TN(Anderson, Bledsoe, Blount, Campbell, Carroll, Cheatham, Cocke, Coffee, Cumberland, Davidson, Dickson, Dyer, Franklin, Gibson, Giles, Grundy, Hancock, Hardin, Hawkins, Hickman, Knox, Lake, Lauderdale, Loudon, Marion, Montgomery, Moore, Obion, Perry, Polk, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Washington, Weakley, Williamson)"
"Menispermum canadense","common moonseed","TN(Anderson, Bledsoe, Blount, Campbell, Carroll, Cheatham, Cocke, Coffee, Cumberland, Davidson, Dickson, Dyer, Franklin, Gibson, Giles, Grundy, Hancock, Hardin, Hawkins, Hickman, Knox, Lake, Lauderdale, Loudon, Marion, Montgomery, Moore, Obion, Perry, Polk, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Washington, Weakley, Williamson)"
"Mentha","mint","TN(Anderson, Bedford, Bledsoe, Blount, Campbell, Cannon, Clay, Cocke, Cumberland, Davidson, Dickson, Fentress, Giles, Grainger, Grundy, Hamilton, Hardin, Hawkins, Hickman, Jackson, Jefferson, Johnson, Knox, Lake, Lawrence, Lewis, Loudon, Marshall, Maury, Monroe, Montgomery, Obion, Overton, Perry, Polk, Putnam, Roane, Rutherford, Sevier, Shelby, Stewart, Sumner, Warren, Wayne, Williamson)"
"Mentha ×piperita","peppermint","TN(Bedford, Bledsoe, Blount, Cannon, Clay, Cocke, Cumberland, Davidson, Dickson, Grainger, Grundy, Hamilton, Hardin, Hawkins, Hickman, Jackson, Johnson, Knox, Lawrence, Lewis, Loudon, Marshall, Maury, Monroe, Montgomery, Overton, Perry, Polk, Putnam, Roane, Rutherford, Sevier, Stewart, Sumner, Warren, Wayne, Williamson)"
"Mentha ×rotundifolia","","TN(Fentress, Knox)"
"Mentha arvensis","wild mint","TN(Campbell, Davidson, Lake, Obion, Williamson)"
"Mentha spicata","spearmint","TN(Anderson, Bedford, Campbell, Giles, Hawkins, Jefferson, Johnson, Lewis, Maury, Montgomery, Rutherford, Shelby, Stewart, Sumner, Williamson)"
"Menziesia","menziesia","TN(Carter, Cocke, Greene, Johnson, Sevier)"
"Menziesia pilosa","minniebush","TN(Carter, Cocke, Greene, Johnson, Sevier)"
"Mertensia","bluebells","TN(Bedford, Benton, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Clay, Coffee, Cumberland, Davidson, DeKalb, Decatur, Franklin, Grundy, Hamilton, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lewis, Marion, Maury, Montgomery, Perry, Putnam, Rhea, Robertson, Rutherford, Scott, Shelby, Stewart, Sullivan, Sumner, Washington, Wayne, Williamson, Wilson)"
"Mertensia virginica","Virginia bluebells","TN(Bedford, Benton, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Clay, Coffee, Cumberland, Davidson, DeKalb, Decatur, Franklin, Grundy, Hamilton, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lewis, Marion, Maury, Montgomery, Perry, Putnam, Rhea, Robertson, Rutherford, Scott, Shelby, Stewart, Sullivan, Sumner, Washington, Wayne, Williamson, Wilson)"
"Microstegium","browntop","TN(Anderson, Blount, Bradley, Cannon, Carter, Cheatham, Cocke, Cumberland, Davidson, Decatur, Franklin, Grainger, Grundy, Hamilton, Hardin, Haywood, Henry, Houston, Knox, Lewis, Madison, Marion, Monroe, Montgomery, Morgan, Polk, Roane, Rutherford, Sevier, Shelby, Stewart, Sullivan, Tipton, Unicoi, Washington, White, Williamson)"
"Microstegium vimineum","Nepalese browntop","TN(Anderson, Blount, Bradley, Cannon, Carter, Cheatham, Cocke, Cumberland, Davidson, Decatur, Franklin, Grainger, Grundy, Hamilton, Hardin, Haywood, Henry, Houston, Knox, Lewis, Madison, Marion, Monroe, Montgomery, Morgan, Polk, Roane, Rutherford, Sevier, Shelby, Stewart, Sullivan, Tipton, Unicoi, Washington, White, Williamson)"
"Microthlaspi","pennycress","TN(Bedford, Blount, Campbell, Cheatham, Claiborne, Clay, Davidson, Grainger, Greene, Hickman, Jefferson, Knox, Loudon, Macon, Maury, Montgomery, Polk, Sevier, Sumner, Union, Williamson, Wilson)"
"Microthlaspi perfoliatum","claspleaf pennycress","TN(Bedford, Blount, Campbell, Cheatham, Claiborne, Clay, Davidson, Grainger, Greene, Hickman, Jefferson, Knox, Loudon, Macon, Maury, Montgomery, Polk, Sevier, Sumner, Union, Williamson, Wilson)"
"Mikania","hempvine","TN(Bradley, Carroll, Chester, Coffee, Crockett, Fayette, Gibson, Hardeman, Hardin, Haywood, Henderson, Henry, Humphreys, Knox, Lake, Lauderdale, Madison, McNairy, Obion, Shelby, Stewart, Tipton)"
"Mikania scandens","climbing hempvine","TN(Bradley, Carroll, Chester, Coffee, Crockett, Fayette, Gibson, Hardeman, Hardin, Haywood, Henderson, Henry, Humphreys, Knox, Lake, Lauderdale, Madison, McNairy, Obion, Shelby, Stewart, Tipton)"
"Milium","milletgrass","TN(Sevier)"
"Milium effusum","American milletgrass","TN(Sevier)"
"Milium effusum var. cisatlanticum","American milletgrass","TN(Sevier)"
"Mimosa","sensitive plant","TN(Benton, Bledsoe, Blount, Chester, Cumberland, Dickson, Fentress, Franklin, Grundy, Hamilton, Hardeman, Hardin, Henderson, Humphreys, Knox, Lewis, Madison, Marion, Monroe, Morgan, Overton, Pickett, Polk, Putnam, Scott, Sequatchie, Van Buren, Wayne, Williamson)"
"Mimosa microphylla","littleleaf sensitive-briar","TN(Benton, Bledsoe, Blount, Chester, Cumberland, Dickson, Fentress, Franklin, Grundy, Hamilton, Hardeman, Hardin, Henderson, Humphreys, Knox, Lewis, Madison, Marion, Monroe, Morgan, Overton, Pickett, Polk, Putnam, Scott, Sequatchie, Van Buren, Wayne, Williamson)"
"Mimulus","monkeyflower","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, Dickson, Dyer, Fentress, Franklin, Giles, Grainger, Grundy, Hardin, Hawkins, Haywood, Henry, Houston, Humphreys, Jackson, Johnson, Knox, Lake, Lauderdale, Lewis, Loudon, Macon, Marion, Marshall, Maury, McNairy, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Polk, Putnam, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Warren, Washington, Wayne, Weakley, White, Williamson, Wilson)"
"Mimulus alatus","sharpwing monkeyflower","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Campbell, Carroll, Cheatham, Claiborne, Clay, Cocke, Coffee, Davidson, Dickson, Dyer, Franklin, Giles, Grainger, Grundy, Hardin, Hawkins, Haywood, Henry, Houston, Humphreys, Jackson, Knox, Lake, Lauderdale, Lewis, Loudon, Macon, Marion, Marshall, Maury, McNairy, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Putnam, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Warren, Wayne, Weakley, White, Williamson, Wilson)"
"Mimulus ringens","Allegheny monkeyflower","TN(Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Claiborne, Cocke, Coffee, Cumberland, Dickson, Fentress, Grainger, Hardin, Henry, Johnson, Knox, Loudon, Monroe, Morgan, Overton, Polk, Putnam, Roane, Scott, Sevier, Unicoi, Warren, Washington, White)"
"Mimulus ringens var. ringens","Allegheny monkeyflower","TN(Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Claiborne, Cocke, Coffee, Cumberland, Dickson, Fentress, Grainger, Hardin, Henry, Johnson, Knox, Loudon, Monroe, Morgan, Overton, Polk, Putnam, Roane, Scott, Sevier, Unicoi, Warren, Washington, White)"
"Minuartia","stitchwort","TN(Anderson, Bedford, Blount, Bradley, Campbell, Cannon, Carter, Claiborne, Clay, Coffee, Cumberland, Davidson, DeKalb, Decatur, Fentress, Franklin, Giles, Grainger, Hamblen, Hamilton, Houston, Jackson, Jefferson, Johnson, Knox, Lawrence, Lincoln, Loudon, Marion, Marshall, Maury, Meigs, Montgomery, Morgan, Overton, Perry, Pickett, Putnam, Rhea, Robertson, Rutherford, Scott, Smith, Stewart, Sumner, Trousdale, Union, Williamson, Wilson)"
"Minuartia cumberlandensis","Cumberland stitchwort","TN(Fentress, Morgan, Pickett, Scott)"
"Minuartia glabra","Appalachian stitchwort","TN(Cumberland, Fentress, Franklin, Grainger, Hamilton, Morgan, Overton, Pickett, Putnam, Rhea, Scott)"
"Minuartia godfreyi","Godfrey's stitchwort","TN(Carter, Johnson)"
"Minuartia groenlandica","Greenland stitchwort","TN(Carter)"
"Minuartia patula","pitcher's stitchwort","TN(Anderson, Bedford, Blount, Bradley, Campbell, Cannon, Claiborne, Clay, Coffee, Davidson, DeKalb, Decatur, Fentress, Franklin, Giles, Hamblen, Hamilton, Houston, Jackson, Jefferson, Knox, Lawrence, Lincoln, Loudon, Marion, Marshall, Maury, Meigs, Montgomery, Perry, Putnam, Robertson, Rutherford, Smith, Stewart, Sumner, Trousdale, Union, Williamson, Wilson)"
"Mirabilis","four o'clock","TN(Carroll, Cheatham, Clay, Davidson, Dickson, Henry, Houston, Lake, Lawrence, Madison, Montgomery, Putnam, Robertson, Rutherford, Shelby, Smith, Sumner, Trousdale, Williamson, Wilson)"
"Mirabilis albida","white four o'clock","TN(Rutherford, Wilson)"
"Mirabilis nyctaginea","heartleaf four o'clock","TN(Carroll, Cheatham, Clay, Davidson, Dickson, Henry, Houston, Lake, Lawrence, Madison, Montgomery, Putnam, Robertson, Rutherford, Shelby, Smith, Sumner, Trousdale, Williamson)"
"Mitchella","mitchella","TN(Benton, Bledsoe, Blount, Carroll, Cheatham, Cocke, Coffee, Cumberland, Dickson, Fentress, Franklin, Giles, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Henderson, Henry, Hickman, Johnson, Lawrence, Lewis, Lincoln, Macon, Madison, Marion, Maury, McNairy, Monroe, Montgomery, Morgan, Overton, Pickett, Polk, Putnam, Rhea, Robertson, Scott, Sevier, Shelby, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson)"
"Mitchella repens","partridgeberry","TN(Benton, Bledsoe, Blount, Carroll, Cheatham, Cocke, Coffee, Cumberland, Dickson, Fentress, Franklin, Giles, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Henderson, Henry, Hickman, Johnson, Lawrence, Lewis, Lincoln, Macon, Madison, Marion, Maury, McNairy, Monroe, Montgomery, Morgan, Overton, Pickett, Polk, Putnam, Rhea, Robertson, Scott, Sevier, Shelby, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson)"
"Mitella","miterwort","TN(Anderson, Blount, Carter, Cheatham, Claiborne, Clay, Coffee, Davidson, DeKalb, Dickson, Franklin, Grainger, Greene, Grundy, Hickman, Houston, Jefferson, Knox, Marion, Monroe, Montgomery, Morgan, Overton, Putnam, Robertson, Scott, Sevier, Sullivan, Union, Van Buren, Wayne, White)"
"Mitella diphylla","twoleaf miterwort","TN(Anderson, Blount, Carter, Cheatham, Claiborne, Clay, Coffee, Davidson, DeKalb, Dickson, Franklin, Grainger, Greene, Grundy, Hickman, Houston, Jefferson, Knox, Marion, Monroe, Montgomery, Morgan, Overton, Putnam, Robertson, Scott, Sevier, Sullivan, Union, Van Buren, Wayne, White)"
"Mitreola","hornpod","TN(Bedford, Bradley, Coffee, Hamilton, Rutherford, Sequatchie, Warren, White, Wilson)"
"Mitreola petiolata","lax hornpod","TN(Bedford, Bradley, Coffee, Hamilton, Rutherford, Sequatchie, Warren, White, Wilson)"
"Modiola","bristlemallow","TN(Knox, Shelby)"
"Modiola caroliniana","Carolina bristlemallow","TN(Knox, Shelby)"
