"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Magnolia acuminata","cucumber tree","WV(Barbour, Braxton, Calhoun, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Magnolia fraseri","mountain magnolia","WV(Fayette, Greenbrier, Marion, McDowell, Mercer, Monongalia, Nicholas, Pocahontas, Raleigh, Randolph, Summers, Tucker, Upshur, Webster, Wyoming)"
"Magnolia tripetala","umbrella-tree","WV(Boone, Braxton, Cabell, Calhoun, Clay, Fayette, Greenbrier, Lewis, McDowell, Monongalia, Nicholas, Raleigh, Summers, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Maianthemum","mayflower","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Maianthemum canadense","Canada mayflower","WV(Barbour, Berkeley, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Marion, McDowell, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Summers, Tucker, Upshur, Wetzel, Wyoming)"
"Maianthemum racemosum","feathery false lily of the valley","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Maianthemum racemosum ssp. racemosum","feathery false lily of the valley","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Preston, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Maianthemum stellatum","starry false lily of the valley","WV(Greenbrier, Harrison, Jefferson, Pendleton, Pocahontas, Randolph, Summers, Taylor)"
"Malaxis","adder's-mouth orchid","WV(Calhoun, Fayette, Greenbrier, Hardy, McDowell, Mercer, Monongalia, Monroe, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Wetzel, Wyoming)"
"Malaxis unifolia","green adder's-mouth orchid","WV(Calhoun, Fayette, Greenbrier, Hardy, McDowell, Mercer, Monongalia, Monroe, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Wetzel, Wyoming)"
"Malus","apple","WV(Barbour, Berkeley, Braxton, Brooke, Fayette, Gilmer, Grant, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, Marshall, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Malus angustifolia","southern crab apple","WV(Grant, Hardy, Preston, Raleigh, Tucker)"
"Malus angustifolia var. angustifolia","southern crab apple","WV(Grant, Hardy, Preston, Raleigh, Tucker)"
"Malus coronaria","sweet crab apple","WV(Barbour, Brooke, Fayette, Gilmer, Hampshire, Hardy, Harrison, Jackson, Kanawha, Marshall, Mineral, Monongalia, Ohio, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Malus pumila","paradise apple","WV(Berkeley, Braxton, Brooke, Fayette, Hancock, Hardy, Jefferson, Lewis, Marion, Mineral, Monongalia, Monroe, Preston, Upshur)"
"Malva","mallow","WV(Barbour, Berkeley, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Marion, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Wetzel, Wyoming)"
"Malva moschata","musk mallow","WV(Barbour, Greenbrier, Hampshire, Jefferson, Kanawha, Lewis, McDowell, Mineral, Monongalia, Pocahontas, Preston, Randolph, Tucker, Upshur, Wyoming)"
"Malva neglecta","common mallow","WV(Barbour, Berkeley, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Marion, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Upshur, Wetzel, Wyoming)"
"Malva sylvestris","high mallow","WV(Greenbrier, Kanawha, Monongalia)"
"Malva verticillata","cluster mallow","WV(Pocahontas, Randolph)"
"Manfreda","tuberose","WV(Wayne)"
"Manfreda virginica","false aloe","WV(Wayne)"
"Marrubium","horehound","WV(Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Mineral, Monongalia, Monroe, Pendleton, Pocahontas, Randolph, Summers, Wayne)"
"Marrubium vulgare","horehound","WV(Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Mineral, Monongalia, Monroe, Pendleton, Pocahontas, Randolph, Summers, Wayne)"
"Marshallia","Barbara's buttons","WV(Barbour, Fayette, Greenbrier, Marion, Monongalia, Nicholas, Preston, Randolph, Summers, Upshur, Webster)"
"Marshallia grandiflora","Monongahela Barbara's buttons","WV(Barbour, Fayette, Greenbrier, Marion, Monongalia, Nicholas, Preston, Randolph, Summers, Upshur, Webster)"
"Matricaria","mayweed","WV(Braxton, Cabell, Grant, Greenbrier, Jefferson, Monroe, Randolph, Ritchie, Tucker)"
"Matricaria discoidea","disc mayweed","WV(Braxton, Cabell, Grant, Greenbrier, Jefferson, Monroe, Randolph, Ritchie, Tucker)"
"Matteuccia","ostrich fern","WV(Greenbrier, Pleasants, Randolph, Tucker)"
"Matteuccia struthiopteris","ostrich fern","WV(Greenbrier, Pleasants, Randolph, Tucker)"
"Mazus","mazus","WV(Barbour, Harrison, Lewis, Monongalia, Upshur)"
"Mazus miquelii","Miquel's mazus","WV(Barbour, Harrison, Monongalia, Upshur)"
"Mazus pumilus","Japanese mazus","WV(Lewis)"
"Medeola","Indian cucumber","WV(Barbour, Berkeley, Boone, Braxton, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Lincoln, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Medeola virginiana","Indian cucumber","WV(Barbour, Berkeley, Boone, Braxton, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Lincoln, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Medicago","alfalfa","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Medicago lupulina","black medick","WV(Barbour, Berkeley, Boone, Brooke, Cabell, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Putnam, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wood, Wyoming)"
"Medicago sativa","alfalfa","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Summers, Tucker, Upshur, Wetzel, Wirt, Wyoming)"
"Medicago sativa ssp. sativa","alfalfa","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Summers, Tucker, Upshur, Wetzel, Wirt, Wyoming)"
"Meehania","meehania","WV(Boone, Braxton, Calhoun, Clay, Fayette, Greenbrier, Hancock, Jackson, Kanawha, Logan, Marion, Marshall, McDowell, Mingo, Monongalia, Nicholas, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Meehania cordata","Meehan's mint","WV(Boone, Braxton, Calhoun, Clay, Fayette, Greenbrier, Hancock, Jackson, Kanawha, Logan, Marion, Marshall, McDowell, Mingo, Monongalia, Nicholas, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Melampyrum","cowwheat","WV(Barbour, Berkeley, Fayette, Greenbrier, Hampshire, Mineral, Morgan, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Webster, Wyoming)"
"Melampyrum lineare","narrowleaf cowwheat","WV(Barbour, Berkeley, Fayette, Greenbrier, Hampshire, Mineral, Morgan, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Webster, Wyoming)"
"Melampyrum lineare var. lineare","narrowleaf cowwheat","WV(Barbour, Berkeley, Fayette, Greenbrier, Hampshire, Mineral, Morgan, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Webster, Wyoming)"
"Melica","melicgrass","WV(Fayette, Hampshire, Jefferson, Lincoln, Raleigh, Summers)"
"Melica mutica","twoflower melicgrass","WV(Fayette, Hampshire, Lincoln, Raleigh, Summers)"
"Melica nitens","threeflower melicgrass","WV(Hampshire, Jefferson)"
"Melilotus","sweetclover","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Melilotus officinalis","sweetclover","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Melissa","balm","WV(Fayette, Hampshire, Jefferson, Kanawha, Mercer, Mineral, Monongalia, Pendleton, Pocahontas, Preston, Randolph, Summers, Upshur, Wetzel)"
"Melissa officinalis","common balm","WV(Fayette, Hampshire, Jefferson, Kanawha, Mercer, Mineral, Monongalia, Pendleton, Pocahontas, Preston, Randolph, Summers, Upshur, Wetzel)"
"Menispermum","moonseed","WV(Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Ohio, Pendleton, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Menispermum canadense","common moonseed","WV(Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Ohio, Pendleton, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Mentha","mint","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Mentha ×piperita","peppermint","WV(Barbour, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Randolph, Summers, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Mentha ×rotundifolia","","WV(Kanawha, McDowell, Mercer, Mineral, Taylor, Webster)"
"Mentha ×verticillata","mint","WV(Jefferson)"
"Mentha aquatica","water mint","WV(Pocahontas)"
"Mentha arvensis","wild mint","WV(Berkeley, Brooke, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Mason, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Summers, Tucker)"
"Mentha spicata","spearmint","WV(Barbour, Boone, Brooke, Calhoun, Doddridge, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Logan, Marion, McDowell, Mineral, Mingo, Monongalia, Nicholas, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Ritchie, Roane, Taylor, Tucker, Wetzel, Wirt, Wyoming)"
"Menyanthes","buckbean","WV(Pocahontas, Preston, Randolph, Tucker)"
"Menyanthes trifoliata","buckbean","WV(Pocahontas, Preston, Randolph, Tucker)"
"Menziesia","menziesia","WV(Grant, Greenbrier, Hampshire, Hardy, Mineral, Pendleton, Pocahontas, Preston, Randolph, Tucker)"
"Menziesia pilosa","minniebush","WV(Grant, Greenbrier, Hampshire, Hardy, Mineral, Pendleton, Pocahontas, Preston, Randolph, Tucker)"
"Mertensia","bluebells","WV(Barbour, Berkeley, Brooke, Cabell, Calhoun, Fayette, Grant, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Lincoln, Logan, Marion, Mercer, Monongalia, Monroe, Morgan, Ohio, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Wetzel, Wirt, Wyoming)"
"Mertensia virginica","Virginia bluebells","WV(Barbour, Berkeley, Brooke, Cabell, Calhoun, Fayette, Grant, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Lincoln, Logan, Marion, Mercer, Monongalia, Monroe, Morgan, Ohio, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Wetzel, Wirt, Wyoming)"
"Microstegium","browntop","WV(Boone, Cabell, Fayette, Grant, Hampshire, Hardy, Jefferson, Logan, Mason, Morgan, Wayne)"
"Microstegium vimineum","Nepalese browntop","WV(Boone, Cabell, Fayette, Grant, Hampshire, Hardy, Jefferson, Logan, Mason, Morgan, Wayne)"
"Microthlaspi","pennycress","WV(Berkeley, Grant, Hampshire, Hardy, Jefferson, Mercer, Morgan, Pendleton, Pocahontas, Summers, Wayne)"
"Microthlaspi perfoliatum","claspleaf pennycress","WV(Berkeley, Grant, Hampshire, Hardy, Jefferson, Mercer, Morgan, Pendleton, Pocahontas, Summers, Wayne)"
"Milium","milletgrass","WV(Grant, Greenbrier, Pocahontas, Preston, Randolph, Tucker)"
"Milium effusum","American milletgrass","WV(Grant, Greenbrier, Pocahontas, Preston, Randolph, Tucker)"
"Milium effusum var. cisatlanticum","American milletgrass","WV(Grant, Greenbrier, Pocahontas, Preston, Randolph, Tucker)"
"Mimulus","monkeyflower","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Mason, McDowell, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Mimulus alatus","sharpwing monkeyflower","WV(Calhoun, Fayette, Hampshire, Hardy, Harrison, Jackson, Lewis, Mineral, Monongalia, Preston, Ritchie, Summers, Wayne, Wetzel, Wirt, Wood)"
"Mimulus moschatus","muskflower","WV(Hampshire, Mineral, Morgan, Pendleton, Pocahontas, Randolph, Tucker)"
"Mimulus moschatus var. moschatus","muskflower","WV(Hampshire, Mineral, Morgan, Pendleton, Pocahontas, Randolph, Tucker)"
"Mimulus ringens","Allegheny monkeyflower","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Lewis, Marion, Mason, McDowell, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Mimulus ringens var. ringens","Allegheny monkeyflower","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Lewis, Marion, Mason, McDowell, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Minuartia","stitchwort","WV(Grant, Hampshire, Hardy, Mineral, Summers)"
"Minuartia michauxii","Michaux's stitchwort","WV(Grant, Hampshire, Hardy, Mineral, Summers)"
"Minuartia michauxii var. michauxii","Michaux's stitchwort","WV(Grant, Hampshire, Hardy, Mineral, Summers)"
"Mirabilis","four o'clock","WV(Hampshire, Hancock, Hardy, McDowell, Morgan, Ohio, Preston, Summers, Wayne)"
"Mirabilis nyctaginea","heartleaf four o'clock","WV(Hampshire, Hancock, Hardy, McDowell, Morgan, Ohio, Preston, Summers, Wayne)"
"Miscanthus","silvergrass","WV(Braxton, Clay, Fayette, Lewis, Monongalia, Ohio, Preston, Upshur, Wood)"
"Miscanthus sinensis","Chinese silvergrass","WV(Braxton, Clay, Fayette, Lewis, Monongalia, Ohio, Preston, Upshur, Wood)"
"Mitchella","mitchella","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Mitchella repens","partridgeberry","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Mitella","miterwort","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Logan, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Tucker, Upshur, Wayne, Wetzel, Wyoming)"
"Mitella diphylla","twoleaf miterwort","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Logan, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Tucker, Upshur, Wayne, Wetzel, Wyoming)"
"Mollugo","carpetweed","WV(Braxton, Calhoun, Fayette, Hampshire, Hancock, Hardy, Harrison, Kanawha, Marion, Mason, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt)"
"Mollugo verticillata","green carpetweed","WV(Braxton, Calhoun, Fayette, Hampshire, Hancock, Hardy, Harrison, Kanawha, Marion, Mason, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt)"
"Monarda","beebalm","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Logan, Marion, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Monarda clinopodia","white bergamot","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Logan, Marion, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wyoming)"
"Monarda didyma","scarlet beebalm","WV(Barbour, Braxton, Grant, Greenbrier, Hancock, Kanawha, McDowell, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Randolph, Tucker, Upshur, Webster, Wyoming)"
"Monarda fistulosa","wild bergamot","WV(Berkeley, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Jefferson, Kanawha, Marion, Mason, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Roane, Summers, Upshur, Wayne, Wetzel, Wirt)"
"Monarda fistulosa ssp. fistulosa","wild bergamot","WV(Berkeley, Calhoun, Fayette, Greenbrier, Hampshire, Jefferson, Kanawha, Marion, Mason, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Roane, Summers, Upshur, Wayne, Wetzel, Wirt)"
"Monarda fistulosa ssp. fistulosa var. fistulosa","wild bergamot","WV(Berkeley, Fayette, Greenbrier, Hampshire, Jefferson, Kanawha, Mason, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Roane, Summers, Upshur, Wayne, Wirt)"
"Monarda fistulosa ssp. fistulosa var. mollis","wild bergamot","WV(Calhoun, Marion, Mercer, Mineral, Pendleton, Pocahontas, Putnam, Wayne, Wetzel)"
"Monarda fistulosa ssp. fistulosa var. rubra","wild bergamot","WV(Pocahontas)"
"Monarda fistulosa var. brevis","wild bergamot","WV(Grant, Mercer, Pendleton, Summers)"
"Monarda media","purple bergamot","WV(Hancock)"
"Monotropa","Indianpipe","WV(Barbour, Berkeley, Braxton, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Marion, McDowell, Mercer, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Monotropa hypopitys","pinesap","WV(Barbour, Berkeley, Fayette, Gilmer, Greenbrier, Hardy, Kanawha, Marion, McDowell, Mercer, Monongalia, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Summers, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Monotropa uniflora","Indianpipe","WV(Barbour, Berkeley, Braxton, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Marion, McDowell, Mercer, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Monotropsis","pygmypipes","WV(Kanawha, Upshur)"
"Monotropsis odorata","pygmypipes","WV(Kanawha, Upshur)"
"Morus","mulberry","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Morus alba","white mulberry","WV(Berkeley, Braxton, Fayette, Greenbrier, Hampshire, Hardy, Jefferson, Lewis, Marion, Mercer, Mineral, Monongalia, Pleasants, Pocahontas, Preston, Raleigh, Summers, Upshur, Wyoming)"
"Morus rubra","red mulberry","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Lincoln, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pleasants, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
