"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Lithospermum incisum","narrowleaf stoneseed","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Custer, Dewey, Ellis, Grady, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kingfisher, Kiowa, Lincoln, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Nowata, Okfuskee, Oklahoma, Osage, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tillman, Tulsa, Washington, Washita, Woods, Woodward)"
"Lobelia","lobelia","OK(Adair, Beaver, Bryan, Caddo, Canadian, Cherokee, Cimarron, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Grady, Greer, Harper, Haskell, Hughes, Johnston, Latimer, Le Flore, Logan, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Sequoyah, Texas, Tulsa, Washington)"
"Lobelia cardinalis","cardinalflower","OK(Adair, Beaver, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Grady, Greer, Harper, Johnston, Latimer, Le Flore, Logan, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Texas, Tulsa, Washington)"
"Lobelia inflata","Indian-tobacco","OK(Adair, Haskell, Hughes, Le Flore, McCurtain, Pittsburg, Sequoyah)"
"Lobelia siphilitica","great blue lobelia","OK(Adair, Cherokee, Delaware, Johnston, McCurtain, Murray, Ottawa, Pontotoc, Sequoyah)"
"Lobelia siphilitica var. ludoviciana","great blue lobelia","OK(Adair, Cherokee, Delaware, Johnston, McCurtain, Murray, Ottawa, Pontotoc, Sequoyah)"
"Lobelia spicata","palespike lobelia","OK(Adair, Bryan, Cherokee, Craig, Delaware, Haskell, Latimer, Le Flore, Mayes, McCurtain, McIntosh, Muskogee, Ottawa, Pittsburg, Pushmataha, Rogers, Sequoyah)"
"Loeflingia","loeflingia","OK(Caddo, Cleveland, Cotton, Grady, Harper, Marshall, Payne, Woodward)"
"Loeflingia squarrosa","spreading pygmyleaf","OK(Caddo, Cleveland, Cotton, Grady, Harper, Marshall, Payne, Woodward)"
"Loeflingia squarrosa ssp. squarrosa","spreading pygmyleaf","OK(Caddo, Cleveland, Cotton, Grady, Harper, Marshall, Payne, Woodward)"
"Lolium","ryegrass","OK(Beckham, Bryan, Choctaw, Cleveland, Custer, Grady, Marshall, Murray, Payne, Pontotoc)"
"Lolium perenne","perennial ryegrass","OK(Beckham, Bryan, Choctaw, Cleveland, Custer, Grady, Marshall, Murray, Payne, Pontotoc)"
"Lolium perenne ssp. multiflorum","Italian ryegrass","OK(Beckham, Bryan, Choctaw, Cleveland, Custer, Grady, Marshall, Murray, Payne, Pontotoc)"
"Lolium temulentum","Darnel ryegrass","OK(Payne)"
"Lolium temulentum ssp. temulentum","Darnel ryegrass","OK(Payne)"
"Lomatium","desertparsley","OK(Blaine, Caddo, Cleveland, Creek, Custer, Ellis, Grady, Grant, Greer, Johnston, Kay, Kingfisher, Lincoln, Logan, Major, McClain, Murray, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Roger Mills, Rogers, Texas, Tulsa, Washington, Woods, Woodward)"
"Lomatium foeniculaceum","desert biscuitroot","OK(Blaine, Caddo, Cleveland, Creek, Custer, Ellis, Grady, Grant, Greer, Johnston, Kay, Kingfisher, Lincoln, Logan, Major, McClain, Murray, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Roger Mills, Rogers, Tulsa, Washington, Woods, Woodward)"
"Lomatium foeniculaceum ssp. daucifolium","desert biscuitroot","OK(Blaine, Caddo, Cleveland, Creek, Custer, Ellis, Grady, Grant, Greer, Kay, Kingfisher, Lincoln, Logan, Major, McClain, Murray, Oklahoma, Osage, Payne, Pontotoc, Pottawatomie, Roger Mills, Rogers, Tulsa, Washington, Woods, Woodward)"
"Lomatium foeniculaceum ssp. foeniculaceum","desert biscuitroot","OK(Blaine, Cleveland, Grant, Johnston, Murray, Woods)"
"Lomatium orientale","Northern Idaho biscuitroot","OK(Texas)"
"Lonicera","honeysuckle","OK(Adair, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Greer, Haskell, Johnston, Kiowa, Marshall, McCurtain, Murray, Muskogee, Payne)"
"Lonicera albiflora","western white honeysuckle","OK(Bryan, Carter, Comanche, Greer, Johnston, Kiowa, Marshall, Murray)"
"Lonicera japonica","Japanese honeysuckle","OK(Adair, Bryan, Choctaw, Cleveland, Haskell, Muskogee, Payne)"
"Lonicera reticulata","grape honeysuckle","OK(Cherokee, McCurtain)"
"Lonicera sempervirens","trumpet honeysuckle","OK(Payne)"
"Lotus","trefoil","OK(Alfalfa, Atoka, Caddo, Canadian, Carter, Cleveland, Comanche, Custer, Grant, Greer, Johnston, Kingfisher, Marshall, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Pushmataha, Tulsa)"
"Lotus unifoliolatus","American bird's-foot trefoil","OK(Alfalfa, Atoka, Caddo, Canadian, Carter, Cleveland, Comanche, Custer, Grant, Greer, Johnston, Kingfisher, Marshall, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Pushmataha, Tulsa)"
"Lotus unifoliolatus var. unifoliolatus","American bird's-foot trefoil","OK(Alfalfa, Atoka, Caddo, Canadian, Carter, Cleveland, Comanche, Custer, Grant, Greer, Johnston, Kingfisher, Marshall, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Pushmataha, Tulsa)"
"Ludwigia","primrose-willow","OK(Alfalfa, Bryan, Carter, Choctaw, Cleveland, Coal, Comanche, Creek, Delaware, Grady, Grant, Haskell, Hughes, Johnston, Latimer, Le Flore, Marshall, Mayes, McClain, McCurtain, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Sequoyah, Tulsa)"
"Ludwigia alternifolia","seedbox","OK(Bryan, Choctaw, Cleveland, Comanche, Creek, Delaware, Grady, Hughes, Johnston, Latimer, Le Flore, Marshall, McCurtain, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Pushmataha, Sequoyah, Tulsa)"
"Ludwigia palustris","marsh seedbox","OK(Bryan, Comanche, Creek, Delaware, Grant, Latimer, Marshall, McCurtain, Oklahoma, Osage, Ottawa, Sequoyah, Tulsa)"
"Ludwigia peploides","floating primrose-willow","OK(Carter, Coal, Comanche, Delaware, Haskell, Mayes, McClain, McCurtain, Muskogee, Payne, Pittsburg)"
"Ludwigia peploides ssp. glabrescens","floating primrose-willow","OK(Carter, Coal, Comanche, Delaware, Haskell, Mayes, McClain, McCurtain, Muskogee, Payne, Pittsburg)"
"Ludwigia repens","creeping primrose-willow","OK(Alfalfa, Cleveland, Creek)"
"Lupinus","lupine","OK(Cimarron)"
"Lupinus argenteus","silvery lupine","OK(Cimarron)"
"Lupinus argenteus ssp. argenteus","silvery lupine","OK(Cimarron)"
"Lupinus argenteus ssp. argenteus var. argenteus","silvery lupine","OK(Cimarron)"
"Lupinus pusillus","rusty lupine","OK(Cimarron)"
"Lupinus pusillus ssp. pusillus","rusty lupine","OK(Cimarron)"
"Lycium","desert-thorn","OK(Cimarron, Cleveland, Custer, Garfield, Harmon, Kay, Le Flore, Muskogee, Payne, Tulsa, Woods)"
"Lycium barbarum","matrimony vine","OK(Cleveland, Custer, Garfield, Kay, Le Flore, Muskogee, Payne, Tulsa, Woods)"
"Lycium berlandieri","Berlandier's wolfberry","OK(Cimarron, Harmon)"
"Lycium berlandieri var. berlandieri","Berlandier's wolfberry","OK(Cimarron, Harmon)"
"Lycium pallidum","pale desert-thorn","OK(Cimarron)"
"Lycium pallidum var. pallidum","pale desert-thorn","OK(Cimarron)"
"Lycopus","waterhorehound","OK(Beaver, Bryan, Canadian, Cherokee, Cimarron, Cleveland, Comanche, Garfield, Grady, Grant, Greer, Harper, Johnston, Kay, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Woods)"
"Lycopus americanus","American water horehound","OK(Beaver, Bryan, Canadian, Cherokee, Cimarron, Cleveland, Comanche, Garfield, Grady, Grant, Greer, Harper, Johnston, Kay, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Pittsburg, Woods)"
"Lycopus uniflorus","northern bugleweed","OK(Ottawa)"
"Lycopus uniflorus var. uniflorus","northern bugleweed","OK(Ottawa)"
"Lycurus","wolfstail","OK(Cimarron)"
"Lycurus phleoides","common wolfstail","OK(Cimarron)"
"Lygodesmia","skeletonplant","OK(Alfalfa, Beckham, Caddo, Carter, Cimarron, Cleveland, Custer, Dewey, Ellis, Greer, Harmon, Harper, Jackson, Jefferson, Love, Murray, Roger Mills, Texas)"
"Lygodesmia juncea","rush skeletonplant","OK(Alfalfa, Beckham, Caddo, Cimarron, Cleveland, Custer, Dewey, Ellis, Harmon, Harper, Roger Mills, Texas)"
"Lygodesmia texana","Texas skeletonplant","OK(Carter, Greer, Harmon, Jackson, Jefferson, Love, Murray)"
"Lysimachia","yellow loosestrife","OK(Delaware, Johnston, Le Flore, McCurtain, Tulsa)"
"Lysimachia ciliata","fringed loosestrife","OK(Tulsa)"
"Lysimachia lanceolata","lanceleaf loosestrife","OK(Delaware, Johnston, Le Flore, McCurtain)"
"Lythrum","loosestrife","OK(Beckham, Caddo, Cherokee, Cleveland, Creek, Custer, Dewey, Garfield, Garvin, Grady, Grant, Jackson, Kiowa, Lincoln, Logan, Mayes, Osage, Ottawa, Payne, Roger Mills, Washita, Woods)"
"Lythrum alatum","winged lythrum","OK(Cherokee, Mayes, Ottawa)"
"Lythrum alatum var. alatum","winged lythrum","OK(Cherokee, Mayes, Ottawa)"
"Lythrum californicum","California loosestrife","OK(Beckham, Caddo, Cleveland, Creek, Custer, Dewey, Garfield, Garvin, Grady, Grant, Jackson, Kiowa, Lincoln, Logan, Osage, Ottawa, Payne, Roger Mills, Washita, Woods)"
"Machaeranthera","tansyaster","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Cimarron, Comanche, Cotton, Custer, Dewey, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Logan, Osage, Roger Mills, Stephens, Texas, Washita, Woods)"
"Machaeranthera pinnatifida","lacy tansyaster","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Cimarron, Comanche, Cotton, Custer, Dewey, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Logan, Osage, Roger Mills, Stephens, Texas, Washita, Woods)"
"Machaeranthera pinnatifida ssp. pinnatifida","lacy tansyaster","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Cimarron, Comanche, Cotton, Custer, Dewey, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Logan, Osage, Roger Mills, Stephens, Texas, Washita, Woods)"
"Machaeranthera pinnatifida ssp. pinnatifida var. pinnatifida","lacy tansyaster","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Cimarron, Comanche, Cotton, Custer, Dewey, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kingfisher, Logan, Osage, Roger Mills, Stephens, Texas, Washita, Woods)"
"Machaeranthera tanacetifolia","tanseyleaf tansyaster","OK(Beaver, Cimarron, Ellis, Harmon, Texas)"
"Maclura","maclura","OK(Adair, Atoka, Blaine, Bryan, Caddo, Cleveland, Coal, Grant, Harper, Johnston, Latimer, Logan, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Pushmataha, Sequoyah, Woods)"
"Maclura pomifera","Osage-orange","OK(Adair, Atoka, Blaine, Bryan, Caddo, Cleveland, Coal, Grant, Harper, Johnston, Latimer, Logan, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Pushmataha, Sequoyah, Woods)"
"Maianthemum","mayflower","OK(Adair, Cherokee, Cleveland, Delaware, Le Flore, McCurtain, Woodward)"
"Maianthemum racemosum","feathery false lily of the valley","OK(Adair, Cherokee, Cleveland, Delaware, Le Flore, McCurtain)"
"Maianthemum racemosum ssp. racemosum","feathery false lily of the valley","OK(Adair, Cherokee, Cleveland, Delaware, Le Flore, McCurtain)"
"Maianthemum stellatum","starry false lily of the valley","OK(Woodward)"
"Malaxis","adder's-mouth orchid","OK(Adair, Choctaw, Delaware, Le Flore, Marshall, McCurtain, Ottawa, Pushmataha)"
"Malaxis unifolia","green adder's-mouth orchid","OK(Adair, Choctaw, Delaware, Le Flore, Marshall, McCurtain, Ottawa, Pushmataha)"
"Malus","apple","OK(Bryan, Choctaw, Johnston, Murray, Ottawa, Pawnee, Pushmataha)"
"Malus ioensis","prairie crab apple","OK(Bryan, Choctaw, Johnston, Murray, Ottawa, Pawnee, Pushmataha)"
"Malus ioensis var. ioensis","prairie crab apple","OK(Bryan, Choctaw, Johnston, Murray, Ottawa, Pawnee, Pushmataha)"
"Malva","mallow","OK(Cleveland, Custer, Grady, Kingfisher, Latimer, Marshall, Oklahoma, Pittsburg, Woods)"
"Malva neglecta","common mallow","OK(Cleveland, Custer, Grady, Kingfisher, Latimer, Oklahoma, Pittsburg, Woods)"
"Malva pusilla","low mallow","OK(Marshall, Oklahoma)"
"Malvastrum","false mallow","OK(Bryan, Cherokee, Johnston, Murray, Muskogee, Osage, Sequoyah, Tulsa)"
"Malvastrum hispidum","hispid false mallow","OK(Bryan, Cherokee, Johnston, Murray, Muskogee, Osage, Sequoyah, Tulsa)"
"Malvella","mallow","OK(Jackson)"
"Malvella leprosa","alkali mallow","OK(Jackson)"
"Marrubium","horehound","OK(Bryan, Cimarron, Cleveland, Delaware, Grady, Kingfisher, Logan, Murray, Muskogee, Pawnee, Payne, Stephens, Woods)"
"Marrubium vulgare","horehound","OK(Bryan, Cimarron, Cleveland, Delaware, Grady, Kingfisher, Logan, Murray, Muskogee, Pawnee, Payne, Stephens, Woods)"
"Marsilea","waterclover","OK(Alfalfa, Cleveland, Comanche, Cotton, Dewey, Garvin, Grady, Hughes, Johnston, Kay, Kingfisher, Major, Marshall, McClain, Murray, Texas, Tulsa, Washington, Woods)"
"Marsilea mutica","Australian Water-Clover","OK(Alfalfa, Hughes)"
"Marsilea vestita","hairy waterclover","OK(Alfalfa, Cleveland, Comanche, Cotton, Dewey, Garvin, Grady, Johnston, Kay, Kingfisher, Major, Marshall, McClain, Murray, Texas, Tulsa, Washington, Woods)"
"Matelea","milkvine","OK(Canadian, Kiowa, Payne)"
"Matelea cynanchoides","prairie milkvine","OK(Canadian, Kiowa, Payne)"
"Matricaria","mayweed","OK(Craig, Oklahoma)"
"Matricaria discoidea","disc mayweed","OK(Craig, Oklahoma)"
"Medicago","alfalfa","OK(Bryan, Caddo, Choctaw, Cleveland, Custer, Delaware, Garfield, Garvin, Grady, Grant, Johnston, Kay, Logan, Love, Major, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Payne, Pontotoc, Tillman, Washington, Woods)"
"Medicago lupulina","black medick","OK(Bryan, Choctaw, Cleveland, Delaware, Grady, Grant, Johnston, Kay, Marshall, McCurtain, Murray, Oklahoma, Osage, Payne, Pontotoc, Washington, Woods)"
"Medicago minima","little bur-clover","OK(Caddo, Garfield, Garvin, Oklahoma, Tillman)"
"Medicago sativa","alfalfa","OK(Bryan, Cleveland, Custer, Grady, Logan, Love, Major, Marshall, McClain, Muskogee, Noble, Oklahoma, Payne)"
"Medicago sativa ssp. sativa","alfalfa","OK(Bryan, Cleveland, Custer, Grady, Logan, Love, Major, Marshall, McClain, Muskogee, Noble, Oklahoma, Payne)"
"Melampodium","blackfoot","OK(Beaver, Cimarron, Ellis, Harmon, Harper, Roger Mills, Texas)"
"Melampodium leucanthum","plains blackfoot","OK(Beaver, Cimarron, Ellis, Harmon, Harper, Roger Mills, Texas)"
"Melica","melicgrass","OK(Canadian, Cherokee, Comanche, Delaware, Greer, Kiowa, Mayes, Murray, Muskogee)"
"Melica mutica","twoflower melicgrass","OK(Canadian, Comanche, Kiowa)"
"Melica nitens","threeflower melicgrass","OK(Canadian, Cherokee, Comanche, Delaware, Greer, Kiowa, Mayes, Murray, Muskogee)"
"Melilotus","sweetclover","OK(Alfalfa, Beaver, Bryan, Carter, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Garfield, Grady, Grant, Hughes, Jefferson, Kay, Kingfisher, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Pushmataha, Roger Mills, Rogers, Texas, Tulsa, Washington, Washita, Woods)"
"Melilotus officinalis","sweetclover","OK(Alfalfa, Beaver, Bryan, Carter, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Garfield, Grady, Grant, Hughes, Jefferson, Kay, Kingfisher, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Pushmataha, Roger Mills, Rogers, Texas, Tulsa, Washington, Washita, Woods)"
"Melothria","melothria","OK(Alfalfa, Atoka, Bryan, Canadian, Cherokee, Cleveland, Comanche, Custer, Delaware, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Osage, Payne, Tulsa)"
"Melothria pendula","Guadeloupe cucumber","OK(Alfalfa, Atoka, Bryan, Canadian, Cherokee, Cleveland, Comanche, Custer, Delaware, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Osage, Payne, Tulsa)"
"Melothria pendula var. pendula","Guadeloupe cucumber","OK(Alfalfa, Atoka, Bryan, Canadian, Cherokee, Cleveland, Comanche, Custer, Delaware, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Osage, Payne, Tulsa)"
"Menispermum","moonseed","OK(Alfalfa, Caddo, Canadian, Cherokee, Cleveland, Grady, Le Flore, Major, Murray, Muskogee, Oklahoma, Ottawa, Sequoyah, Washington, Woodward)"
"Menispermum canadense","common moonseed","OK(Alfalfa, Caddo, Canadian, Cherokee, Cleveland, Grady, Le Flore, Major, Murray, Muskogee, Oklahoma, Ottawa, Sequoyah, Washington, Woodward)"
"Mentha","mint","OK(Cleveland, Oklahoma)"
"Mentha ×piperita","peppermint","OK(Cleveland)"
"Mentha spicata","spearmint","OK(Cleveland, Oklahoma)"
"Mentzelia","blazingstar","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Cimarron, Comanche, Cotton, Custer, Dewey, Garfield, Garvin, Grady, Greer, Harmon, Harper, Jefferson, Johnston, Kingfisher, Kiowa, Logan, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Roger Mills, Sequoyah, Texas, Tillman, Tulsa, Washita, Woods, Woodward)"
"Mentzelia albescens","wavyleaf blazingstar","OK(Comanche, Kiowa)"
"Mentzelia decapetala","tenpetal blazingstar","OK(Beckham, Cimarron, Garfield, Greer, Harper, Kingfisher, Logan, Major, Texas)"
"Mentzelia multiflora","Adonis blazingstar","OK(Cimarron)"
"Mentzelia multiflora var. multiflora","Adonis blazingstar","OK(Cimarron)"
"Mentzelia nuda","bractless blazingstar","OK(Alfalfa, Beaver, Beckham, Blaine, Cimarron, Comanche, Cotton, Custer, Dewey, Greer, Harmon, Harper, Jefferson, Kingfisher, Kiowa, Roger Mills, Texas, Tillman, Washita, Woods, Woodward)"
"Mentzelia oligosperma","chickenthief","OK(Caddo, Cimarron, Comanche, Custer, Garvin, Grady, Greer, Harmon, Harper, Johnston, Kiowa, Logan, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Sequoyah, Tulsa, Woods, Woodward)"
"Microthlaspi","pennycress","OK(Kay)"
"Microthlaspi perfoliatum","claspleaf pennycress","OK(Kay)"
"Mimosa","sensitive plant","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Craig, Creek, Custer, Dewey, Ellis, Garfield, Grant, Greer, Harmon, Harper, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Major, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Okfuskee, Oklahoma, Okmulgee, Osage, Pawnee, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Sequoyah, Stephens, Texas, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Mimosa borealis","fragrant mimosa","OK(Beaver, Beckham, Cimarron, Custer, Dewey, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Major, Roger Mills, Texas, Washita, Woods)"
"Mimosa nuttallii","Nuttall's sensitive-briar","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Craig, Creek, Custer, Ellis, Garfield, Grant, Greer, Harmon, Harper, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Major, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Okfuskee, Oklahoma, Okmulgee, Osage, Pawnee, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Sequoyah, Stephens, Texas, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Mimosa rupertiana","eastern sensitive plant","OK(Beaver, Cimarron)"
"Mimulus","monkeyflower","OK(Adair, Beaver, Bryan, Caddo, Cherokee, Cimarron, Cleveland, Harper, Johnston, Latimer, Love, Major, Marshall, McCurtain, Murray, Oklahoma, Osage, Pawnee, Pottawatomie, Tillman, Tulsa, Woods, Woodward)"
"Mimulus alatus","sharpwing monkeyflower","OK(Bryan, Cherokee, Johnston, Latimer, Marshall, McCurtain, Osage, Pawnee, Pottawatomie, Tulsa)"
"Mimulus glabratus","roundleaf monkeyflower","OK(Adair, Beaver, Caddo, Cimarron, Cleveland, Harper, Johnston, Love, Major, Murray, Oklahoma, Tillman, Woods, Woodward)"
"Mimulus glabratus var. jamesii","James' monkeyflower","OK(Adair, Beaver, Caddo, Cimarron, Cleveland, Harper, Johnston, Love, Major, Murray, Oklahoma, Tillman, Woods, Woodward)"
"Mimulus ringens","Allegheny monkeyflower","OK(Oklahoma)"
"Mimulus ringens var. ringens","Allegheny monkeyflower","OK(Oklahoma)"
"Minuartia","stitchwort","OK(Adair, Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Coal, Comanche, Craig, Custer, Delaware, Ellis, Grady, Jackson, Johnston, Latimer, Le Flore, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Osage, Pittsburg, Pontotoc, Pushmataha, Roger Mills, Sequoyah, Tulsa, Washita)"
"Minuartia drummondii","Drummond's stitchwort","OK(Craig, Oklahoma, Tulsa)"
"Minuartia michauxii","Michaux's stitchwort","OK(Beckham, Caddo, Carter, Comanche, Custer, Ellis, Grady, Jackson, Johnston, Marshall, Murray, Pontotoc, Roger Mills, Washita)"
"Minuartia michauxii var. texana","Texas stitchwort","OK(Beckham, Caddo, Carter, Comanche, Custer, Ellis, Grady, Jackson, Johnston, Marshall, Murray, Pontotoc, Roger Mills, Washita)"
"Minuartia patula","pitcher's stitchwort","OK(Adair, Atoka, Bryan, Cherokee, Coal, Comanche, Delaware, Johnston, Latimer, Le Flore, McCurtain, Murray, Muskogee, Oklahoma, Osage, Pittsburg, Pontotoc, Pushmataha, Sequoyah, Tulsa)"
"Mirabilis","four o'clock","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Garvin, Grady, Grant, Greer, Harmon, Harper, Jackson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Noble, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pontotoc, Pottawatomie, Roger Mills, Seminole, Texas, Tulsa, Woods)"
"Mirabilis albida","white four o'clock","OK(Adair, Beckham, Blaine, Bryan, Caddo, Cherokee, Cleveland, Comanche, Creek, Delaware, Grady, Greer, Jackson, Kingfisher, Kiowa, Latimer, Lincoln, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Seminole, Tulsa, Woods)"
"Mirabilis glabra","smooth four o'clock","OK(Alfalfa, Beckham, Blaine, Caddo, Canadian, Cimarron, Comanche, Custer, Dewey, Grant, Greer, Harper, Kiowa, Love, Pottawatomie, Roger Mills, Woods)"
"Mirabilis linearis","narrowleaf four o'clock","OK(Alfalfa, Beaver, Blaine, Caddo, Cimarron, Comanche, Creek, Custer, Dewey, Garvin, Grady, Grant, Greer, Harmon, Harper, Jackson, Johnston, Kingfisher, Kiowa, Logan, Major, Mayes, Murray, Muskogee, Okfuskee, Oklahoma, Roger Mills, Texas)"
"Mirabilis nyctaginea","heartleaf four o'clock","OK(Beaver, Canadian, Carter, Cimarron, Cleveland, Comanche, Custer, Grady, Grant, Kay, Kingfisher, Kiowa, Le Flore, Marshall, Mayes, Muskogee, Oklahoma, Osage, Pontotoc, Pottawatomie, Tulsa, Woods)"
"Mirabilis oxybaphoides","smooth spreading four o'clock","OK(Cimarron)"
"Mollugo","carpetweed","OK(Alfalfa, Beaver, Blaine, Cherokee, Cleveland, Custer, Delaware, Greer, Kay, Kingfisher, Latimer, Logan, Love, Major, Marshall, McCurtain, Muskogee, Oklahoma, Ottawa, Pittsburg, Pontotoc, Woods)"
"Mollugo verticillata","green carpetweed","OK(Alfalfa, Beaver, Blaine, Cherokee, Cleveland, Custer, Delaware, Greer, Kay, Kingfisher, Latimer, Logan, Love, Major, Marshall, McCurtain, Muskogee, Oklahoma, Ottawa, Pittsburg, Pontotoc, Woods)"
"Monarda","beebalm","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Comanche, Cotton, Creek, Custer, Delaware, Dewey, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Johnston, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Rogers, Sequoyah, Texas, Tillman, Tulsa, Washita, Woods, Woodward)"
"Monarda bradburiana","eastern beebalm","OK(Ottawa, Tulsa)"
"Monarda citriodora","lemon beebalm","OK(Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Carter, Cherokee, Choctaw, Cleveland, Comanche, Garvin, Greer, Harmon, Harper, Hughes, Jackson, Johnston, Kingfisher, Kiowa, Latimer, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Osage, Payne, Pontotoc, Pottawatomie, Roger Mills, Rogers, Sequoyah, Texas, Tillman, Tulsa, Washita, Woods)"
