"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Geum macrophyllum","largeleaf avens","ND(Barnes, Cass, Pembina, Ransom, Rolette, Stutsman)"
"Geum macrophyllum var. perincisum","largeleaf avens","ND(Barnes, Cass, Pembina, Ransom, Rolette, Stutsman)"
"Geum rivale","purple avens","ND(Pembina)"
"Geum triflorum","old man's whiskers","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McHenry, McKenzie, McLean, Mercer, Mountrail, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Ward, Wells, Williams)"
"Geum triflorum var. triflorum","old man's whiskers","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McHenry, McKenzie, McLean, Mercer, Mountrail, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Ward, Wells, Williams)"
"Glaux","milkwort","ND(Barnes, Bottineau, Divide, Dunn, Emmons, Golden Valley, Hettinger, Kidder, LaMoure, McKenzie, Mountrail, Pembina, Ransom, Richland, Ward, Williams)"
"Glaux maritima","sea milkwort","ND(Barnes, Bottineau, Divide, Dunn, Emmons, Golden Valley, Hettinger, Kidder, LaMoure, McKenzie, Mountrail, Pembina, Ransom, Richland, Ward, Williams)"
"Glechoma","glechoma","ND(Barnes, Bottineau, Burleigh, Cass, Grand Forks, Pembina, Ransom, Richland, Rolette, Stutsman, Williams)"
"Glechoma hederacea","ground ivy","ND(Barnes, Bottineau, Burleigh, Cass, Grand Forks, Pembina, Ransom, Richland, Rolette, Stutsman, Williams)"
"Gleditsia","locust","ND(Burleigh, Cass)"
"Gleditsia triacanthos","honeylocust","ND(Burleigh, Cass)"
"Glyceria","mannagrass","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Glyceria borealis","small floating mannagrass","ND(Benson, Billings, Bottineau, Burke, Cass, Divide, Foster, Grant, McIntosh, Mercer, Mountrail, Oliver, Pembina, Richland, Rolette, Slope, Stutsman, Williams)"
"Glyceria grandis","American mannagrass","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Glyceria grandis var. grandis","American mannagrass","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Glyceria striata","fowl mannagrass","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Kidder, LaMoure, McHenry, Mercer, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Steele, Stutsman)"
"Glycyrrhiza","licorice","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Williams)"
"Glycyrrhiza lepidota","American licorice","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Williams)"
"Gnaphalium","cudweed","ND(Burke, Divide, Mountrail, Ward, Williams)"
"Gnaphalium palustre","western marsh cudweed","ND(Burke, Divide, Mountrail, Ward, Williams)"
"Gratiola","hedgehyssop","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Emmons, Grant, Morton, Mountrail, Ramsey, Ransom, Richland, Stark, Steele, Stutsman, Ward, Williams)"
"Gratiola neglecta","clammy hedgehyssop","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Emmons, Grant, Morton, Mountrail, Ramsey, Ransom, Richland, Stark, Steele, Stutsman, Ward, Williams)"
"Grindelia","gumweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Grindelia squarrosa","curlycup gumweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Grindelia squarrosa var. quasiperennis","curlycup gumweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Grindelia squarrosa var. squarrosa","curlycup gumweed","ND(Benson, Ransom, Sargent)"
"Gutierrezia","snakeweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Dickey, Divide, Dunn, Emmons, Golden Valley, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Renville, Rolette, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Gutierrezia sarothrae","broom snakeweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Dickey, Divide, Dunn, Emmons, Golden Valley, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Renville, Rolette, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Gymnocladus","coffeetree","ND(Cass)"
"Gymnocladus dioicus","Kentucky coffeetree","ND(Cass)"
"Gypsophila","baby's-breath","ND(Adams, Benson, Billings, Bottineau, Burke, Dickey, Divide, Dunn, Eddy, Grant, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Oliver, Rolette, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Gypsophila paniculata","baby's breath","ND(Adams, Benson, Billings, Bottineau, Burke, Dickey, Divide, Dunn, Eddy, Grant, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Oliver, Rolette, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Hackelia","stickseed","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Hackelia deflexa","nodding stickseed","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Golden Valley, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Hackelia deflexa var. americana","American stickseed","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Golden Valley, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Hackelia floribunda","manyflower stickseed","ND(Benson, Bottineau, Burke, Mountrail, Pierce, Ward)"
"Hackelia virginiana","beggarslice","ND(Barnes, Cass, Grand Forks, Ransom, Richland)"
"Halenia","spurred gentian","ND(Pembina)"
"Halenia deflexa","American spurred gentian","ND(Pembina)"
"Halenia deflexa ssp. deflexa","American spurred gentian","ND(Pembina)"
"Hedeoma","false pennyroyal","ND(Barnes, Benson, Billings, Bowman, Burleigh, Cass, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ransom, Richland, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Hedeoma drummondii","Drummond's false pennyroyal","ND(Billings, Bowman, Dunn, Golden Valley, Grant, McKenzie, Mercer, Morton, Oliver, Slope, Williams)"
"Hedeoma hispida","rough false pennyroyal","ND(Barnes, Benson, Billings, Burleigh, Cass, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McKenzie, McLean, Morton, Mountrail, Nelson, Pembina, Ransom, Richland, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Hedysarum","sweetvetch","ND(Billings, Burke, Dunn, Golden Valley, Grant, Kidder, McKenzie, McLean, Mercer, Mountrail, Oliver, Renville, Slope, Ward, Wells, Williams)"
"Hedysarum boreale","Utah sweetvetch","ND(Billings, Burke, Dunn, Golden Valley, Grant, Kidder, McKenzie, McLean, Mercer, Mountrail, Oliver, Renville, Slope, Ward, Wells, Williams)"
"Hedysarum boreale ssp. boreale","Utah sweetvetch","ND(Billings, Burke, Dunn, Golden Valley, Grant, Kidder, McKenzie, McLean, Mercer, Mountrail, Oliver, Renville, Slope, Ward, Wells, Williams)"
"Hedysarum boreale ssp. boreale var. boreale","Utah sweetvetch","ND(Billings, Burke, Dunn, Golden Valley, Grant, Kidder, McKenzie, McLean, Mercer, Mountrail, Oliver, Renville, Slope, Ward, Wells, Williams)"
"Helenium","sneezeweed","ND(Barnes, Benson, Burke, Burleigh, Cass, Cavalier, Divide, Eddy, Foster, Kidder, McHenry, Morton, Mountrail, Nelson, Pierce, Ransom, Richland, Sargent, Stutsman, Walsh, Williams)"
"Helenium autumnale","common sneezeweed","ND(Barnes, Benson, Burke, Burleigh, Cass, Cavalier, Divide, Eddy, Foster, Kidder, McHenry, Morton, Mountrail, Nelson, Pierce, Ransom, Richland, Sargent, Stutsman, Walsh, Williams)"
"Helenium autumnale var. montanum","mountain sneezeweed","ND(Barnes, Benson, Burke, Burleigh, Cass, Cavalier, Divide, Eddy, Foster, Kidder, McHenry, Morton, Mountrail, Nelson, Pierce, Ransom, Richland, Sargent, Stutsman, Walsh, Williams)"
"Helianthemum","frostweed","ND(Ransom)"
"Helianthemum bicknellii","hoary frostweed","ND(Ransom)"
"Helianthus","sunflower","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Helianthus annuus","common sunflower","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Richland, Sargent, Sheridan, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Helianthus grosseserratus","sawtooth sunflower","ND(Sargent)"
"Helianthus maximiliani","Maximilian sunflower","ND(Barnes, Benson, Billings, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Helianthus nuttallii","Nuttall's sunflower","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Grand Forks, Kidder, LaMoure, Logan, McHenry, McLean, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sheridan, Stutsman, Towner, Traill, Ward, Williams)"
"Helianthus nuttallii ssp. nuttallii","Nuttall's sunflower","ND(Cavalier, Mountrail, Rolette)"
"Helianthus nuttallii ssp. rydbergii","Rydberg's sunflower","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Grand Forks, Kidder, LaMoure, Logan, McHenry, McLean, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sheridan, Stutsman, Towner, Traill, Ward, Williams)"
"Helianthus pauciflorus","stiff sunflower","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Helianthus pauciflorus ssp. pauciflorus","stiff sunflower","ND(Adams, McKenzie, Mercer)"
"Helianthus pauciflorus ssp. subrhomboideus","stiff sunflower","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Helianthus petiolaris","prairie sunflower","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Eddy, Emmons, Golden Valley, Grant, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Stutsman, Ward, Williams)"
"Helianthus petiolaris ssp. petiolaris","prairie sunflower","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Eddy, Emmons, Golden Valley, Grant, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Stutsman, Ward, Williams)"
"Helianthus tuberosus","Jerusalem artichoke","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McIntosh, Morton, Mountrail, Pembina, Ransom, Richland, Sargent, Sheridan, Stark, Steele, Stutsman, Walsh, Ward, Wells)"
"Heliopsis","heliopsis","ND(Barnes, Benson, Cass, Cavalier, Grand Forks, Griggs, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Traill)"
"Heliopsis helianthoides","smooth oxeye","ND(Barnes, Benson, Cass, Cavalier, Grand Forks, Griggs, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Traill)"
"Heliopsis helianthoides var. occidentalis","smooth oxeye","ND(Barnes, Benson, Cass, Cavalier, Grand Forks, Griggs, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Traill)"
"Heliotropium","heliotrope","ND(Benson, Burleigh, Cass, Emmons, Golden Valley, Kidder, Logan, McHenry, McIntosh, Pierce, Sargent, Stutsman)"
"Heliotropium curassavicum","salt heliotrope","ND(Benson, Burleigh, Cass, Emmons, Golden Valley, Kidder, Logan, McHenry, McIntosh, Pierce, Sargent, Stutsman)"
"Heliotropium curassavicum var. obovatum","seaside heliotrope","ND(Benson, Burleigh, Cass, Emmons, Golden Valley, Kidder, Logan, McHenry, McIntosh, Pierce, Sargent, Stutsman)"
"Heracleum","cowparsnip","ND(Barnes, Benson, Billings, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, Grant, Kidder, LaMoure, Logan, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Heracleum maximum","common cowparsnip","ND(Barnes, Benson, Billings, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, Grant, Kidder, LaMoure, Logan, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Hesperis","rocket","ND(Barnes, Benson, Billings, Bottineau, Burleigh, Cass, Divide, Dunn, Emmons, Golden Valley, Grant, LaMoure, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Stutsman, Ward, Williams)"
"Hesperis matronalis","dames rocket","ND(Barnes, Benson, Billings, Bottineau, Burleigh, Cass, Divide, Dunn, Emmons, Golden Valley, Grant, LaMoure, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Stutsman, Ward, Williams)"
"Hesperostipa","needle and thread","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Hesperostipa comata","needle and thread","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Hesperostipa comata ssp. comata","needle and thread","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Hesperostipa spartea","porcupinegrass","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Dickey, Divide, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McLean, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Heteranthera","mudplantain","ND(Barnes, Eddy, Emmons, Mercer, Nelson, Richland, Traill, Walsh)"
"Heteranthera dubia","grassleaf mudplantain","ND(Barnes, Eddy, Emmons, Mercer, Nelson, Richland, Traill, Walsh)"
"Heterotheca","false goldenaster","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Heterotheca villosa","hairy false goldenaster","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Heterotheca villosa var. minor","hairy false goldenaster","ND(Barnes, Benson, Cavalier, Divide, Hettinger, McKenzie, Mercer, Mountrail, Pembina, Ransom, Richland, Sargent, Stark, Williams)"
"Heterotheca villosa var. villosa","hairy false goldenaster","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Heuchera","alumroot","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Hettinger, Kidder, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Ward, Wells, Williams)"
"Heuchera richardsonii","Richardson's alumroot","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Hettinger, Kidder, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Ward, Wells, Williams)"
"Hibiscus","rosemallow","ND(Barnes, Cass, Dickey, Dunn, Emmons, Griggs, McHenry, McIntosh, McLean, Nelson, Stutsman)"
"Hibiscus trionum","flower of an hour","ND(Barnes, Cass, Dickey, Dunn, Emmons, Griggs, McHenry, McIntosh, McLean, Nelson, Stutsman)"
"Hieracium","hawkweed","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, McHenry, Pembina, Ramsey, Ransom, Richland, Rolette, Stutsman, Ward)"
"Hieracium kalmii","Kalm's hawkweed","ND(Rolette)"
"Hieracium kalmii var. kalmii","Kalm's hawkweed","ND(Rolette)"
"Hieracium umbellatum","narrowleaf hawkweed","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, McHenry, Pembina, Ramsey, Ransom, Richland, Rolette, Stutsman, Ward)"
"Hierochloe","sweetgrass","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Grand Forks, Grant, LaMoure, McHenry, McLean, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sheridan, Steele, Stutsman, Towner, Ward, Williams)"
"Hierochloe hirta","northern sweetgrass","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Grand Forks, Grant, LaMoure, McHenry, McLean, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sheridan, Steele, Stutsman, Towner, Ward, Williams)"
"Hierochloe hirta ssp. arctica","northern sweetgrass","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Grand Forks, Grant, LaMoure, McHenry, McLean, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sheridan, Steele, Stutsman, Towner, Ward, Williams)"
"Hippuris","mare's-tail","ND(Adams, Barnes, Bottineau, Burke, Cavalier, Divide, Griggs, Kidder, McHenry, McLean, Mercer, Mountrail, Nelson, Oliver, Ransom, Richland, Rolette, Stutsman, Traill, Ward, Williams)"
"Hippuris vulgaris","common mare's-tail","ND(Adams, Barnes, Bottineau, Burke, Cavalier, Divide, Griggs, Kidder, McHenry, McLean, Mercer, Mountrail, Nelson, Oliver, Ransom, Richland, Rolette, Stutsman, Traill, Ward, Williams)"
"Hordeum","barley","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
