"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Gamochaeta coarctata","gray everlasting","VA(Northampton)"
"Gamochaeta purpurea","spoonleaf purple everlasting","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Westmoreland, York)"
"Gaultheria","snowberry","VA(Accomack, Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Halifax, Hanover, Henry, Highland, Isle of Wight, James City, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Mecklenburg, Montgomery, Nelson, New Kent, Orange, Page, Patrick, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe)"
"Gaultheria procumbens","eastern teaberry","VA(Accomack, Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Halifax, Hanover, Henry, Highland, Isle of Wight, James City, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Mecklenburg, Montgomery, Nelson, New Kent, Orange, Page, Patrick, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe)"
"Gaylussacia","huckleberry","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Gaylussacia baccata","black huckleberry","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Gaylussacia brachycera","box huckleberry","VA(Bath, Bland, Carroll, Craig, Dickenson, Montgomery)"
"Gaylussacia dumosa","dwarf huckleberry","VA(Augusta, Charlotte, Dinwiddie, Gloucester, Greensville, Isle of Wight, James City, King and Queen, Lancaster, Lunenburg, Mecklenburg, Newport News (city), Northumberland, Page, Prince George, Southampton, Suffolk (city), Surry, Sussex)"
"Gaylussacia frondosa","blue huckleberry","VA(Accomack, Arlington, Augusta, Caroline, Charles City, Chesapeake (city), Chesterfield, Craig, Dinwiddie, Essex, Fairfax, Giles, Gloucester, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Louisa, Mathews, Middlesex, New Kent, Newport News (city), Northampton, Northumberland, Page, Prince George, Prince William, Richmond, Rockbridge, Scott, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Westmoreland, York)"
"Gelsemium","trumpetflower","VA(Charles City, Chesapeake (city), Chesterfield, Dinwiddie, Gloucester, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, James City, Lancaster, Mathews, Mecklenburg, Middlesex, New Kent, Newport News (city), Northampton, Northumberland, Prince George, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
"Gelsemium sempervirens","evening trumpetflower","VA(Charles City, Chesapeake (city), Chesterfield, Dinwiddie, Gloucester, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, James City, Lancaster, Mathews, Mecklenburg, Middlesex, New Kent, Newport News (city), Northampton, Northumberland, Prince George, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
"Gentiana","gentian","VA(Accomack, Albemarle, Amelia, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Craig, Culpeper, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Franklin, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Hampton (city), Henrico, Henry, Highland, Isle of Wight, James City, King William, King and Queen, Lee, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Orange, Page, Patrick, Pittsylvania, Prince Edward, Prince George, Prince William, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe, York)"
"Gentiana autumnalis","pine barren gentian","VA(Suffolk (city))"
"Gentiana catesbaei","Elliott's gentian","VA(Accomack, Brunswick, Charles City, Charlotte, Chesapeake (city), Chesterfield, Gloucester, Goochland, Greensville, Hampton (city), Henrico, Isle of Wight, Mathews, Newport News (city), Northampton, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city))"
"Gentiana clausa","bottle gentian","VA(Albemarle, Augusta, Bath, Bland, Carroll, Culpeper, Fairfax, Fauquier, Floyd, Giles, Greene, Highland, Louisa, Montgomery, Nelson, Orange, Page, Prince William, Pulaski, Roanoke, Shenandoah, Smyth, Tazewell, Washington)"
"Gentiana decora","showy gentian","VA(Bland, Botetourt, Carroll, Craig, Dickenson, Floyd, Franklin, Giles, Grayson, Lee, Patrick, Pulaski, Roanoke, Russell, Scott, Smyth, Tazewell, Washington, Wise, Wythe)"
"Gentiana linearis","narrowleaf gentian","VA(Smyth)"
"Gentiana saponaria","harvestbells","VA(Appomattox, Bedford, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Dinwiddie, Essex, Fairfax, Gloucester, Grayson, Greensville, Henrico, Henry, Isle of Wight, James City, King William, King and Queen, Lunenburg, Mecklenburg, Newport News (city), Northampton, Page, Patrick, Pittsylvania, Prince Edward, Prince George, Prince William, Shenandoah, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
"Gentiana saponaria var. saponaria","harvestbells","VA(Appomattox, Bedford, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Dinwiddie, Essex, Fairfax, Gloucester, Grayson, Greensville, Henrico, Henry, Isle of Wight, James City, King William, King and Queen, Lunenburg, Mecklenburg, Newport News (city), Northampton, Page, Patrick, Pittsylvania, Prince Edward, Prince George, Prince William, Shenandoah, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
"Gentiana villosa","striped gentian","VA(Albemarle, Amelia, Augusta, Bath, Bedford, Brunswick, Chesapeake (city), Chesterfield, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Gloucester, Greensville, Henrico, James City, King William, King and Queen, Lee, Louisa, Middlesex, New Kent, Page, Prince Edward, Roanoke, Rockbridge, Rockingham, Russell, Shenandoah, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington)"
"Gentianella","dwarf gentian","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Carroll, Craig, Floyd, Grayson, Greene, Highland, Lee, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Smyth, Warren, Washington)"
"Gentianella quinquefolia","agueweed","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Carroll, Craig, Floyd, Grayson, Greene, Highland, Lee, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Smyth, Warren, Washington)"
"Gentianopsis","fringed gentian","VA(Montgomery)"
"Gentianopsis crinita","greater fringed gentian","VA(Montgomery)"
"Geranium","geranium","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Geranium carolinianum","Carolina geranium","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Geranium carolinianum var. carolinianum","Carolina geranium","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Geranium columbinum","longstalk cranesbill","VA(Albemarle, Alleghany, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Buckingham, Carroll, Clarke, Fauquier, Franklin, Frederick, Giles, Grayson, Greene, Hanover, Highland, Lee, Loudoun, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Shenandoah, Smyth, Tazewell, Warren, Washington, Wythe)"
"Geranium dissectum","cutleaf geranium","VA(Accomack, Caroline, Chesapeake (city), Clarke, Fairfax, Gloucester, Hampton (city), James City, King and Queen, Lee, Mathews, Mecklenburg, Middlesex, Montgomery, New Kent, Newport News (city), Northampton, Pittsylvania, Prince Edward, Richmond, Shenandoah, Smyth, Southampton, Surry, Sussex, Virginia Beach (city), York)"
"Geranium maculatum","spotted geranium","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, James City, King George, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, New Kent, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Tazewell, Warren, Washington, Wise, Wythe)"
"Geranium molle","dovefoot geranium","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bedford, Bland, Botetourt, Brunswick, Campbell, Caroline, Chesterfield, Clarke, Craig, Cumberland, Dinwiddie, Essex, Fairfax, Floyd, Frederick, Giles, Gloucester, Goochland, Halifax, Hampton (city), Hanover, Henrico, Highland, Isle of Wight, James City, King George, King and Queen, Loudoun, Lunenburg, Middlesex, Montgomery, Nelson, New Kent, Northampton, Northumberland, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Surry, Virginia Beach (city), Warren, Washington, Westmoreland, Wythe, York)"
"Geranium pusillum","small geranium","VA(Accomack, Amelia, Augusta, Fairfax, Giles, Henrico, Isle of Wight, Louisa, Nelson, Northampton, Nottoway, Page, Rockbridge, Rockingham, Russell, Smyth, Southampton)"
"Geranium robertianum","Robert geranium","VA(Highland, Page)"
"Geranium robertianum ssp. robertianum","Robert geranium","VA(Highland, Page)"
"Geum","avens","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Geum aleppicum","yellow avens","VA(Arlington, Fairfax, Rockingham)"
"Geum canadense","white avens","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Geum canadense var. canadense","white avens","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Geum laciniatum","rough avens","VA(Augusta, Bath, Bland, Fairfax, Fauquier, Tazewell)"
"Geum vernum","spring avens","VA(Albemarle, Amherst, Arlington, Augusta, Clarke, Fairfax, Fauquier, Lee, Loudoun, Orange, Page, Rockingham, Smyth)"
"Geum virginianum","cream avens","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Augusta, Bedford, Bland, Botetourt, Brunswick, Caroline, Clarke, Culpeper, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Grayson, Halifax, Hampton (city), Hanover, Henrico, Highland, Isle of Wight, James City, King William, King and Queen, Lee, Loudoun, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, New Kent, Northampton, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Pulaski, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Virginia Beach (city), Warren, York)"
"Gillenia","Indian-physic","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Halifax, Henrico, Henry, Highland, James City, Lee, Loudoun, Louisa, Madison, Mecklenburg, Montgomery, Nelson, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Spotsylvania, Sussex, Tazewell, Warren, Washington, Wise, Wythe)"
"Gillenia stipulata","American ipecac","VA(Halifax)"
"Gillenia trifoliata","Bowman's root","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Halifax, Henrico, Henry, Highland, James City, Lee, Loudoun, Louisa, Madison, Mecklenburg, Montgomery, Nelson, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Spotsylvania, Sussex, Tazewell, Warren, Washington, Wise, Wythe)"
"Gladiolus","gladiolus","VA(Chesterfield, Gloucester, Lancaster, Montgomery, Southampton)"
"Gladiolus ×gandavensis","gladiolus","VA(Chesterfield, Gloucester, Lancaster, Montgomery, Southampton)"
"Glandularia","mock vervain","VA(James City, Virginia Beach (city))"
"Glandularia canadensis","rose mock vervain","VA(James City, Virginia Beach (city))"
"Glaucium","hornpoppy","VA(Fairfax, Virginia Beach (city))"
"Glaucium flavum","yellow hornpoppy","VA(Fairfax, Virginia Beach (city))"
"Glechoma","glechoma","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Glechoma hederacea","ground ivy","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Gleditsia","locust","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lee, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Montgomery, Northumberland, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Roanoke, Rockingham, Russell, Scott, Shenandoah, Southampton, Spotsylvania, Stafford, Sussex, Warren, Westmoreland, Wise, Wythe)"
"Gleditsia triacanthos","honeylocust","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lee, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Montgomery, Northumberland, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Roanoke, Rockingham, Russell, Scott, Shenandoah, Southampton, Spotsylvania, Stafford, Sussex, Warren, Westmoreland, Wise, Wythe)"
