"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Hieracium gronovii","queendevil","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Hampton, Lancaster, Laurens, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, Williamsburg, York)"
"Hieracium marianum","Maryland hawkweed","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Florence, Hampton, Horry, Jasper, Kershaw, Lee, Lexington, Marlboro, Orangeburg, Spartanburg, Sumter, Williamsburg)"
"Hieracium paniculatum","Allegheny hawkweed","SC(Greenville, Oconee, Pickens)"
"Hieracium scabrum","rough hawkweed","SC(Pickens)"
"Hieracium scabrum var. scabrum","rough hawkweed","SC(Pickens)"
"Hieracium venosum","rattlesnakeweed","SC(Abbeville, Aiken, Anderson, Calhoun, Cherokee, Chester, Chesterfield, Darlington, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Pickens, Richland, Spartanburg, Sumter, Union, York)"
"Holcus","velvetgrass","SC(Aiken, Colleton, Richland, York)"
"Holcus lanatus","common velvetgrass","SC(Aiken, Colleton, Richland, York)"
"Holosteum","holosteum","SC(Cherokee, Lancaster, Laurens, Spartanburg, York)"
"Holosteum umbellatum","jagged chickweed","SC(Cherokee, Lancaster, Laurens, Spartanburg, York)"
"Hordeum","barley","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Horry, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Hordeum jubatum","foxtail barley","SC(Florence)"
"Hordeum pusillum","little barley","SC(Abbeville, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Fairfield, Horry, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Hordeum vulgare","common barley","SC(Aiken, Barnwell, Colleton, Darlington, Edgefield, Horry, Richland)"
"Houstonia","bluet","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Houstonia caerulea","azure bluet","SC(Abbeville, Anderson, Charleston, Cherokee, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Greenville, Kershaw, Lancaster, Lee, Lexington, Marion, McCormick, Pickens, Richland, Saluda, Spartanburg, Union, Williamsburg, York)"
"Houstonia longifolia","longleaf summer bluet","SC(Aiken, Bamberg, Calhoun, Cherokee, Chesterfield, Edgefield, Lancaster, Lee, Lexington, McCormick, Pickens, Richland)"
"Houstonia procumbens","roundleaf bluet","SC(Beaufort, Charleston, Colleton)"
"Houstonia purpurea","Venus' pride","SC(Abbeville, Aiken, Barnwell, Berkeley, Calhoun, Cherokee, Darlington, Edgefield, Kershaw, Lancaster, Lee, Lexington, Marion, McCormick, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Houstonia purpurea var. purpurea","Venus' pride","SC(Abbeville, Aiken, Barnwell, Berkeley, Calhoun, Cherokee, Darlington, Edgefield, Kershaw, Lancaster, Lee, Lexington, Marion, McCormick, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Houstonia pusilla","tiny bluet","SC(Abbeville, Aiken, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Darlington, Dillon, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Newberry, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Houstonia serpyllifolia","thymeleaf bluet","SC(Oconee)"
"Hudsonia","goldenheather","SC(Chesterfield)"
"Hudsonia ericoides","pine barren goldenheather","SC(Chesterfield)"
"Humulus","hop","SC(Abbeville, York)"
"Humulus japonicus","Japanese hop","SC(Abbeville, York)"
"Humulus lupulus","common hop","SC(York)"
"Humulus lupulus var. lupuloides","common hop","SC(York)"
"Huperzia","clubmoss","SC(Greenville, Pickens)"
"Huperzia appalachiana","Appalachian clubmoss","SC(Greenville)"
"Huperzia lucidula","shining clubmoss","SC(Greenville, Pickens)"
"Hybanthus","greenviolet","SC(Aiken, Darlington, Lancaster, McCormick, Oconee)"
"Hybanthus concolor","eastern greenviolet","SC(Aiken, Darlington, Lancaster, McCormick, Oconee)"
"Hydrangea","hydrangea","SC(Abbeville, Anderson, Cherokee, Chesterfield, Darlington, Greenville, Greenwood, Lancaster, Laurens, McCormick, Oconee, Pickens, Spartanburg, Union)"
"Hydrangea arborescens","wild hydrangea","SC(Abbeville, Anderson, Cherokee, Chesterfield, Darlington, Greenville, Greenwood, Lancaster, McCormick, Oconee, Union)"
"Hydrangea cinerea","ashy hydrangea","SC(Cherokee, Union)"
"Hydrangea radiata","silverleaf hydrangea","SC(Anderson, Cherokee, Greenville, Laurens, Oconee, Pickens, Spartanburg)"
"Hydrocotyle","hydrocotyle","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dorchester, Edgefield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Newberry, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Williamsburg)"
"Hydrocotyle americana","American marshpennywort","SC(Pickens)"
"Hydrocotyle bonariensis","largeleaf pennywort","SC(Charleston, Georgetown, Horry, Jasper, Orangeburg)"
"Hydrocotyle prolifera","whorled marshpennywort","SC(Bamberg, Calhoun, Charleston, Colleton, Florence, Horry, Orangeburg)"
"Hydrocotyle ranunculoides","floating marshpennywort","SC(Berkeley, Charleston, Colleton, Jasper)"
"Hydrocotyle sibthorpioides","lawn marshpennywort","SC(Darlington)"
"Hydrocotyle umbellata","manyflower marshpennywort","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Colleton, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Newberry, Orangeburg, Richland, Saluda, Spartanburg, Williamsburg)"
"Hydrocotyle verticillata","whorled marshpennywort","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Charleston, Chesterfield, Colleton, Darlington, Edgefield, Florence, Greenwood, Lexington, Marion, Marlboro, Newberry, Orangeburg, Sumter, Williamsburg)"
"Hydrocotyle verticillata var. verticillata","whorled marshpennywort","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Charleston, Chesterfield, Colleton, Darlington, Edgefield, Florence, Greenwood, Lexington, Marion, Marlboro, Newberry, Orangeburg, Sumter, Williamsburg)"
"Hydrolea","false fiddleleaf","SC(Allendale, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Darlington, Georgetown, Hampton, Jasper, Kershaw, Lancaster, Lexington, Orangeburg, Saluda, Sumter, Williamsburg)"
"Hydrolea corymbosa","skyflower","SC(Allendale, Berkeley, Clarendon)"
"Hydrolea quadrivalvis","waterpod","SC(Allendale, Barnwell, Beaufort, Calhoun, Charleston, Chesterfield, Clarendon, Darlington, Georgetown, Hampton, Jasper, Kershaw, Lancaster, Lexington, Orangeburg, Saluda, Sumter, Williamsburg)"
"Hylotelephium","stonecrop","SC(Greenville)"
"Hylotelephium telephioides","Allegheny stonecrop","SC(Greenville)"
"Hymenocallis","spiderlily","SC(Abbeville, Berkeley, Charleston, Chester, Colleton, Edgefield, Florence, Georgetown, Horry, Jasper, Lexington, Marion, Richland, Union, Williamsburg)"
"Hymenocallis coronaria","shoals spiderlily","SC(Abbeville, Chester, Edgefield, Lexington, Richland, Union)"
"Hymenocallis crassifolia","coastal Carolina spiderlily","SC(Berkeley, Charleston, Colleton, Florence, Georgetown, Horry, Jasper, Marion, Williamsburg)"
"Hymenocallis pygmaea","dwarf spiderlily","SC(Florence, Georgetown, Horry, Marion)"
"Hymenopappus","hymenopappus","SC(Aiken)"
"Hymenopappus scabiosaeus","Carolina woollywhite","SC(Aiken)"
"Hymenopappus scabiosaeus var. scabiosaeus","Carolina woollywhite","SC(Aiken)"
"Hymenophyllum","filmy fern","SC(Pickens)"
"Hymenophyllum tunbrigense","Tunbridge filmy fern","SC(Pickens)"
"Hypericum","St. Johnswort","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Hypericum adpressum","creeping St. Johnswort","SC(Clarendon, Hampton, Jasper)"
"Hypericum brachyphyllum","coastal plain St. Johnswort","SC(Chesterfield, Lexington)"
"Hypericum buckleii","Buckley's St. Johnswort","SC(Greenville)"
"Hypericum canadense","lesser Canadian St. Johnswort","SC(Aiken, Allendale, Bamberg, Berkeley, Chesterfield, Darlington, Georgetown, Kershaw, Lancaster, Marlboro, Orangeburg)"
"Hypericum cistifolium","roundpod St. Johnswort","SC(Allendale, Beaufort, Berkeley, Charleston, Colleton, Darlington, Dorchester, Georgetown, Horry, Orangeburg, Williamsburg)"
"Hypericum crux-andreae","St. Peterswort","SC(Allendale, Beaufort, Berkeley, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lee, Lexington, Marlboro, Oconee, Orangeburg, Richland, Sumter, Williamsburg)"
"Hypericum densiflorum","bushy St. Johnswort","SC(Berkeley, Darlington, Georgetown, Orangeburg, Williamsburg)"
"Hypericum denticulatum","coppery St. Johnswort","SC(Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Lee, Lexington, Marlboro, Orangeburg, Sumter, Williamsburg)"
"Hypericum drummondii","nits and lice","SC(Abbeville, Cherokee, Chester, Darlington, Dillon, Dorchester, Florence, Greenwood, Jasper, Lancaster, Lexington, McCormick, Newberry, Saluda, Sumter, Union, York)"
"Hypericum erythreae","sparse-leaved St. Johnswort","SC(Beaufort)"
"Hypericum fasciculatum","peelbark St. Johnswort","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Chesterfield, Colleton, Darlington, Georgetown, Hampton, Jasper, Kershaw, Lexington, Orangeburg)"
"Hypericum galioides","bedstraw St. Johnswort","SC(Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Horry, Jasper, Kershaw, Lexington, Marion, Orangeburg, Sumter, Williamsburg)"
"Hypericum gentianoides","orangegrass","SC(Abbeville, Aiken, Allendale, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Hypericum gymnanthum","claspingleaf St. Johnswort","SC(Allendale, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dillon, Hampton, Horry, Lancaster, Sumter)"
"Hypericum hypericoides","St. Andrew's cross","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg, York)"
"Hypericum hypericoides ssp. hypericoides","St. Andrew's cross","SC(Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg, York)"
"Hypericum hypericoides ssp. multicaule","St. Andrew's cross","SC(Abbeville, Cherokee, Lancaster, McCormick, Oconee, Pickens, Spartanburg)"
"Hypericum lloydii","sandhill St. Johnswort","SC(Aiken, Chesterfield, Edgefield, Greenwood, Lancaster, Lexington, McCormick, Newberry, Saluda, Union)"
"Hypericum mutilum","dwarf St. Johnswort","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Saluda, Sumter, Williamsburg)"
"Hypericum nitidum","Carolina St. Johnswort","SC(Darlington, Kershaw, Lexington, Richland)"
"Hypericum nudiflorum","early St. Johnswort","SC(Abbeville, Aiken, Barnwell, Darlington, Edgefield, Florence, Greenwood, Kershaw, Lancaster, McCormick, Saluda)"
"Hypericum perforatum","common St. Johnswort","SC(Anderson, Fairfield, Horry, Pickens, Union)"
"Hypericum prolificum","shrubby St. Johnswort","SC(Chester, Chesterfield, Darlington, Greenville, Kershaw, Lancaster, Marlboro, Pickens)"
"Hypericum pseudomaculatum","false spotted St. Johnswort","SC(Allendale, McCormick, Newberry)"
"Hypericum punctatum","spotted St. Johnswort","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Greenwood, Kershaw, Lancaster, Lee, Lexington, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Sumter, York)"
"Hypericum setosum","hairy St. Johnswort","SC(Beaufort, Berkeley, Charleston, Chesterfield, Clarendon, Colleton, Dillon, Dorchester, Florence, Hampton, Horry, Marlboro, Sumter)"
"Hypericum suffruticosum","pineland St. Johnswort","SC(Dorchester, Hampton, Jasper)"
"Hypericum tenuifolium","Atlantic St. John's-Wort","SC(Beaufort, Darlington, Georgetown, Horry, Jasper)"
"Hypericum virgatum","sharpleaf St. Johnswort","SC(Abbeville, Aiken, Bamberg, Cherokee, Chester, Clarendon, Edgefield, Fairfield, Hampton, Lancaster, Laurens, Lee, Lexington, McCormick, Newberry, Orangeburg, Pickens, Union)"
"Hypochaeris","cat's ear","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Sumter, Williamsburg, York)"
"Hypochaeris brasiliensis","Brazilian cat's ear","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Clarendon, Dillon, Dorchester, Edgefield, Fairfield, Georgetown, Hampton, Lee, Lexington, Marion, Marlboro, McCormick, Williamsburg)"
"Hypochaeris brasiliensis var. tweediei","Tweedy's cat's ear","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Clarendon, Dillon, Dorchester, Edgefield, Fairfield, Georgetown, Hampton, Lee, Lexington, Marion, Marlboro, McCormick, Williamsburg)"
"Hypochaeris glabra","smooth cat's ear","SC(Abbeville, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Colleton, Darlington, Dillon, Florence, Hampton, Horry, Jasper, Lexington, Marion, McCormick, Newberry, Orangeburg, Sumter, Williamsburg)"
"Hypochaeris radicata","hairy cat's ear","SC(Cherokee, Chester, Darlington, Dillon, Florence, Kershaw, Lancaster, Laurens, Newberry, York)"
"Hypoxis","star-grass","SC(Abbeville, Aiken, Allendale, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Newberry, Oconee, Orangeburg, Pickens, Richland, Sumter, Union, Williamsburg, York)"
"Hypoxis hirsuta","common goldstar","SC(Abbeville, Aiken, Allendale, Barnwell, Berkeley, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Newberry, Oconee, Orangeburg, Pickens, Richland, Sumter, Union, Williamsburg, York)"
"Hypoxis juncea","fringed yellow star-grass","SC(Dorchester, Hampton, Jasper)"
"Hypoxis wrightii","Wright's star-grass","SC(Allendale, Barnwell, Beaufort, Berkeley, Charleston, Colleton, Darlington, Dorchester, Florence, Horry, Jasper, Williamsburg)"
"Hyptis","bushmint","SC(Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Clarendon, Colleton, Dorchester, Georgetown, Hampton, Horry, Jasper, Orangeburg, Sumter, Williamsburg)"
"Hyptis alata","clustered bushmint","SC(Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Clarendon, Colleton, Dorchester, Georgetown, Hampton, Horry, Jasper, Orangeburg, Sumter, Williamsburg)"
"Ilex","holly","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Ilex ambigua","Carolina holly","SC(Aiken, Beaufort, Charleston, Chesterfield, Jasper)"
"Ilex amelanchier","sarvis holly","SC(Darlington, Lee)"
"Ilex cassine","dahoon","SC(Beaufort, Berkeley, Charleston, Dorchester, Georgetown, Horry, Williamsburg)"
"Ilex cassine var. cassine","dahoon","SC(Beaufort, Berkeley, Charleston, Dorchester, Georgetown, Horry, Williamsburg)"
"Ilex coriacea","large gallberry","SC(Aiken, Allendale, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Georgetown, Horry, Kershaw, Lee, Lexington, Marlboro, Richland, Sumter)"
"Ilex decidua","possumhaw","SC(Abbeville, Aiken, Allendale, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Darlington, Dillon, Dorchester, Fairfield, Greenwood, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Richland, Saluda, Spartanburg, Sumter, Williamsburg)"
"Ilex glabra","inkberry","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Orangeburg, Richland, Sumter, Williamsburg)"
"Ilex laevigata","smooth winterberry","SC(Darlington)"
"Ilex longipes","Georgia holly","SC(Cherokee, Fairfield, Lancaster, Laurens, Lexington, Union, York)"
"Ilex montana","mountain holly","SC(Aiken, Cherokee, Darlington, Edgefield, Greenville, McCormick, Oconee, Richland, Sumter)"
"Ilex myrtifolia","myrtle dahoon","SC(Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Colleton, Darlington, Dorchester, Georgetown, Hampton, Horry, Jasper, Marion, Orangeburg, Sumter, Williamsburg)"
"Ilex opaca","American holly","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg)"
"Ilex opaca var. opaca","American holly","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg)"
"Ilex verticillata","common winterberry","SC(Allendale, Barnwell, Berkeley, Calhoun, Clarendon, Georgetown, Greenwood, Jasper, Kershaw, Lancaster, Marion, Oconee, Richland, Spartanburg, Williamsburg, York)"
"Ilex vomitoria","yaupon","SC(Aiken, Beaufort, Berkeley, Calhoun, Charleston, Georgetown, Hampton, Horry, Jasper, Lexington)"
"Impatiens","touch-me-not","SC(Aiken, Allendale, Anderson, Barnwell, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Horry, Lancaster, Laurens, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg)"
"Impatiens capensis","jewelweed","SC(Aiken, Allendale, Anderson, Barnwell, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Horry, Lancaster, Laurens, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg)"
"Imperata","satintail","SC(Hampton)"
"Imperata cylindrica","cogongrass","SC(Hampton)"
"Indigofera","indigo","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Florence, Georgetown, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Orangeburg, Sumter, Williamsburg)"
"Indigofera caroliniana","Carolina indigo","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Florence, Georgetown, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Orangeburg, Sumter, Williamsburg)"
"Ionactis","aster","SC(Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Ionactis linariifolius","flaxleaf whitetop aster","SC(Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Ipomoea","morning-glory","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Ipomoea carnea","gloria de la manana","SC(Charleston)"
"Ipomoea carnea ssp. fistulosa","gloria de la manana","SC(Charleston)"
"Ipomoea coccinea","redstar","SC(Anderson, Cherokee, Colleton, Darlington, Dorchester, Fairfield, Greenville, Lancaster, Laurens, McCormick, Oconee, Union, Williamsburg)"
"Ipomoea cordatotriloba","tievine","SC(Beaufort, Berkeley, Charleston, Dorchester, Horry, Jasper)"
"Ipomoea cordatotriloba var. cordatotriloba","tievine","SC(Beaufort, Berkeley, Charleston, Dorchester, Horry, Jasper)"
"Ipomoea cristulata","Trans-Pecos morning-glory","SC(Darlington)"
"Ipomoea hederacea","ivyleaf morning-glory","SC(Aiken, Allendale, Beaufort, Calhoun, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Edgefield, Florence, Georgetown, Greenville, Hampton, Jasper, Lancaster, Laurens, Lee, Lexington, McCormick, Newberry, Orangeburg, Pickens, Richland, Sumter, Union, York)"
"Ipomoea imperati","beach morning-glory","SC(Beaufort, Charleston, Georgetown)"
"Ipomoea lacunosa","whitestar","SC(Aiken, Anderson, Beaufort, Calhoun, Cherokee, Chester, Chesterfield, Darlington, Dorchester, Greenville, Jasper, Kershaw, Lancaster, McCormick, Newberry, Oconee, Orangeburg, Pickens, Sumter, York)"
"Ipomoea macrorhiza","largeroot morning-glory","SC(Beaufort, Georgetown)"
"Ipomoea pandurata","man of the earth","SC(Abbeville, Aiken, Allendale, Bamberg, Beaufort, Berkeley, Calhoun, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Marion, Marlboro, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Ipomoea purpurea","tall morning-glory","SC(Abbeville, Aiken, Anderson, Calhoun, Cherokee, Darlington, Dillon, Edgefield, Florence, Greenville, Greenwood, Lancaster, Laurens, Marion, Newberry, Oconee, Pickens, Saluda, Spartanburg, Sumter)"
"Ipomoea quamoclit","cypressvine","SC(Aiken, Berkeley, Colleton, Jasper, Marion, Orangeburg)"
"Ipomoea sagittata","saltmarsh morning-glory","SC(Beaufort, Charleston, Colleton, Georgetown, Horry, Jasper)"
"Ipomopsis","ipomopsis","SC(Barnwell)"
"Ipomopsis rubra","standing-cypress","SC(Barnwell)"
"Iresine","bloodleaf","SC(Charleston, Georgetown)"
"Iresine rhizomatosa","Juda's bush","SC(Charleston, Georgetown)"
