"","",""
"Abelia","abelia","FL(Franklin)"
"Glandularia ×hybrida","mock vervain","FL(Brevard)"
"Glandularia canadensis","rose mock vervain","FL(Alachua, Citrus, Duval, Flagler, Hernando, Jackson, Jefferson, Leon, Levy, Suwannee)"
"Glandularia maritima","coastal mock vervain","FL(Brevard, Broward, Collier, Flagler, Hendry, Indian River, Levy, Martin, Miami-Dade, Monroe, Palm Beach, St. Johns, St. Lucie, Volusia)"
"Glandularia pulchella","South American mock vervain","FL(Alachua, Baker, Bay, Calhoun, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Hamilton, Hernando, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Miami-Dade, Nassau, Okaloosa, Polk, Putnam, Santa Rosa, St. Lucie, Suwannee, Taylor, Union, Wakulla, Walton, Washington)"
"Glandularia tampensis","Tampa mock vervain","FL(Brevard, Citrus, Collier, Hillsborough, Indian River, Lee, Levy, Manatee, Pasco, Pinellas, Sarasota, Volusia)"
"Glebionis","glebionis","FL(Bay)"
"Glebionis coronarium","crowndaisy","FL(Bay)"
"Glechoma","glechoma","FL(Escambia, Gadsden, Leon)"
"Glechoma hederacea","ground ivy","FL(Escambia, Gadsden, Leon)"
"Gleditsia","locust","FL(Alachua, Brevard, Calhoun, DeSoto, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Nassau, Okaloosa, Orange, Polk, Putnam, Sarasota, Seminole, St. Johns, Suwannee, Taylor, Volusia, Wakulla, Washington)"
"Gleditsia ×texana","hybrid honeylocust","FL(Wakulla)"
"Gleditsia aquatica","water locust","FL(Alachua, Brevard, Calhoun, DeSoto, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Nassau, Okaloosa, Orange, Polk, Putnam, Sarasota, Seminole, St. Johns, Suwannee, Taylor, Volusia, Wakulla, Washington)"
"Gleditsia triacanthos","honeylocust","FL(Escambia, Franklin, Jackson, Jefferson, Levy, Liberty, Okaloosa, Taylor, Wakulla)"
"Gliricidia","quickstick","FL(Monroe)"
"Gliricidia sepium","quickstick","FL(Monroe)"
"Gloriosa","flame lily","FL(Alachua, Broward, Leon, Pinellas)"
"Gloriosa superba","flame lily","FL(Alachua, Broward, Leon, Pinellas)"
"Glyceria","mannagrass","FL(Jackson, Jefferson, Sumter, Wakulla)"
"Glyceria septentrionalis","floating mannagrass","FL(Sumter)"
"Glyceria striata","fowl mannagrass","FL(Jackson, Jefferson, Wakulla)"
"Glycine","soybean","FL(Palm Beach)"
"Glycine max","soybean","FL(Palm Beach)"
"Glycosmis","glycosmis","FL(Miami-Dade, Monroe)"
"Glycosmis parviflora","flower axistree","FL(Miami-Dade, Monroe)"
"Gomphrena","globe amaranth","FL(Brevard, Broward, Charlotte, Clay, Collier, DeSoto, Dixie, Escambia, Franklin, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Volusia, Washington)"
"Gomphrena serrata","arrasa con todo","FL(Brevard, Broward, Charlotte, Clay, Collier, DeSoto, Dixie, Escambia, Franklin, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Volusia, Washington)"
"Goodyera","rattlesnake plantain","FL(Liberty)"
"Goodyera pubescens","downy rattlesnake plantain","FL(Liberty)"
"Gordonia","gordonia","FL(Alachua, Baker, Brevard, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hamilton, Hardee, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Taylor, Union, Volusia, Wakulla, Walton)"
"Gordonia lasianthus","loblolly bay","FL(Alachua, Baker, Brevard, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hamilton, Hardee, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Taylor, Union, Volusia, Wakulla, Walton)"
"Gossypium","cotton","FL(Charlotte, Collier, Gilchrist, Lee, Manatee, Miami-Dade, Monroe, Palm Beach, Pinellas, Sumter)"
"Gossypium hirsutum","upland cotton","FL(Charlotte, Collier, Gilchrist, Lee, Manatee, Miami-Dade, Monroe, Palm Beach, Pinellas, Sumter)"
"Gossypium hirsutum var. hirsutum","upland cotton","FL(Charlotte, Collier, Gilchrist, Lee, Manatee, Miami-Dade, Monroe, Palm Beach, Pinellas, Sumter)"
"Gouania","chewstick","FL(Brevard, Clay, Indian River, Manatee, Martin, Miami-Dade, Monroe)"
"Gouania lupuloides","whiteroot","FL(Brevard, Clay, Indian River, Manatee, Martin, Miami-Dade, Monroe)"
"Govenia","govenia","FL(Miami-Dade)"
"Govenia floridana","tropical govenia","FL(Miami-Dade)"
"Graptophyllum","graptophyllum","FL(Volusia)"
"Graptophyllum pictum","caricature-plant","FL(Volusia)"
"Gratiola","hedgehyssop","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Gratiola aurea","golden hedgehyssop","FL(Leon)"
"Gratiola brevifolia","sticky hedgehyssop","FL(Baker, Franklin, Gadsden, Jefferson, Wakulla)"
"Gratiola floridana","Florida hedgehyssop","FL(Bay, Franklin, Gadsden, Jackson, Leon, Liberty, St. Johns)"
"Gratiola hispida","rough hedgehyssop","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hardee, Hernando, Highlands, Hillsborough, Indian River, Lafayette, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, Sumter, Union, Volusia, Wakulla, Walton)"
"Gratiola pilosa","shaggy hedgehyssop","FL(Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Sumter, Taylor, Volusia, Wakulla, Walton, Washington)"
"Gratiola ramosa","branched hedgehyssop","FL(Alachua, Baker, Bay, Bradford, Brevard, Charlotte, Citrus, Clay, Collier, DeSoto, Dixie, Duval, Flagler, Franklin, Glades, Hendry, Hernando, Highlands, Hillsborough, Holmes, Jackson, Lafayette, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla)"
"Gratiola virginiana","roundfruit hedgehyssop","FL(Alachua, Baker, Bay, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Nassau, Orange, Polk, Putnam, Sumter, Union, Wakulla, Walton, Washington)"
"Gratiola virginiana var. virginiana","roundfruit hedgehyssop","FL(Alachua, Baker, Bay, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Manatee, Nassau, Orange, Polk, Putnam, Sumter, Union, Wakulla, Walton, Washington)"
"Gratiola viscidula","Short's hedgehyssop","FL(Duval)"
"Grevillea","grevillea","FL(Alachua, Broward, Highlands, Hillsborough, Lake, Lee, Orange, Palm Beach, Pinellas, Polk)"
"Grevillea robusta","silkoak","FL(Alachua, Broward, Highlands, Hillsborough, Lake, Lee, Orange, Palm Beach, Pinellas, Polk)"
"Grewia","grewia","FL(Miami-Dade)"
"Grewia asiatica","phalsa","FL(Miami-Dade)"
"Guaiacum","lignum-vitae","FL(Miami-Dade, Monroe)"
"Guaiacum officinale","lignum-vitae","FL(Miami-Dade)"
"Guaiacum sanctum","holywood","FL(Miami-Dade, Monroe)"
"Guapira","guapira","FL(Brevard, Broward, Indian River, Miami-Dade, Monroe, Palm Beach, St. Lucie)"
"Guapira discolor","beeftree","FL(Brevard, Broward, Indian River, Miami-Dade, Monroe, Palm Beach, St. Lucie)"
"Guapira obtusata","corcho prieto","FL(Monroe)"
"Guettarda","guettarda","FL(Martin, Miami-Dade, Monroe, Palm Beach, St. Lucie)"
"Guettarda elliptica","hammock velvetseed","FL(Miami-Dade, Monroe, St. Lucie)"
"Guettarda scabra","wild guave","FL(Martin, Miami-Dade, Monroe, Palm Beach)"
"Guzmania","tufted airplant","FL(Collier, Miami-Dade, Monroe)"
"Guzmania monostachia","West Indian tufted airplant","FL(Collier, Miami-Dade, Monroe)"
"Guzmania monostachia var. variegata","varigated tufted airplant","FL(Collier, Miami-Dade, Monroe)"
"Gyminda","false box","FL(Miami-Dade, Monroe)"
"Gyminda latifolia","West Indian false box","FL(Miami-Dade, Monroe)"
"Gymnanthes","gymnanthes","FL(Miami-Dade, Monroe)"
"Gymnanthes lucida","oysterwood","FL(Miami-Dade, Monroe)"
"Gymnopogon","skeletongrass","FL(Alachua, Baker, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Suwannee, Volusia, Wakulla, Walton, Washington)"
"Gymnopogon ambiguus","bearded skeletongrass","FL(Alachua, Baker, Citrus, Columbia, Duval, Escambia, Gadsden, Gilchrist, Hamilton, Hernando, Holmes, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Miami-Dade, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Polk, Putnam, Santa Rosa, Suwannee, Volusia, Wakulla, Walton)"
"Gymnopogon brevifolius","shortleaf skeletongrass","FL(Alachua, Duval, Franklin, Hendry, Lee, Levy, Liberty, Manatee, Martin, Miami-Dade, Okeechobee, Osceola, Pasco, Polk, Santa Rosa, Walton, Washington)"
"Gymnopogon chapmanianus","Chapman's skeletongrass","FL(Alachua, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Flagler, Hardee, Highlands, Hillsborough, Lee, Manatee, Nassau, Okeechobee, Osceola, Pasco, Polk, Putnam, Seminole, St. Johns, Wakulla)"
"Gymnostyles","burrweed","FL(Alachua, Franklin, Gadsden, Leon)"
"Gymnostyles anthemifolia","button burrweed","FL(Alachua, Franklin)"
"Gymnostyles stolonifera","carpet burrweed","FL(Gadsden, Leon)"
"Gynura","gynura","FL(Lee, Palm Beach)"
"Gynura aurantiaca","velvetplant","FL(Lee, Palm Beach)"
"Gypsophila","baby's-breath","FL(Jackson)"
"Gypsophila paniculata","baby's breath","FL(Jackson)"
"Habenaria","bog orchid","FL(Alachua, Baker, Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, Sumter, Taylor, Volusia, Walton, Washington)"
"Habenaria distans","hammock bog orchid","FL(Collier, Highlands, Hillsborough, Lee)"
"Habenaria quinqueseta","longhorn bog orchid","FL(Alachua, Charlotte, Citrus, Clay, Collier, Columbia, Gilchrist, Hernando, Highlands, Hillsborough, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Orange, Pasco, Polk, Putnam, Sarasota, Sumter)"
"Habenaria repens","waterspider bog orchid","FL(Alachua, Baker, Bay, Brevard, Broward, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, Sumter, Taylor, Volusia, Walton, Washington)"
"Habranthus","copperlily","FL(Escambia, Pinellas)"
"Habranthus robustus","Brazilian copperlily","FL(Pinellas)"
"Habranthus tubispathus","Rio Grande copperlily","FL(Escambia)"
"Hackelochloa","pitscale grass","FL(Alachua, Marion, Miami-Dade)"
"Hackelochloa granularis","pitscale grass","FL(Alachua, Marion, Miami-Dade)"
"Halesia","silverbell","FL(Bay, Calhoun, Citrus, Columbia, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Holmes, Jackson, Jefferson, Leon, Levy, Liberty, Okaloosa, Santa Rosa, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Halesia carolina","Carolina silverbell","FL(Bay, Calhoun, Citrus, Columbia, Dixie, Escambia, Gadsden, Gilchrist, Gulf, Holmes, Jackson, Jefferson, Leon, Levy, Liberty, Okaloosa, Santa Rosa, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Halesia diptera","two-wing silverbell","FL(Calhoun, Franklin, Gadsden, Holmes, Jackson, Jefferson, Leon, Liberty, Santa Rosa, Suwannee, Walton, Washington)"
"Halodule","halodule","FL(Bay, Brevard, Escambia, Franklin, Gulf, Indian River, Lee, Levy, Martin, Miami-Dade, Monroe, Palm Beach, Pinellas, Santa Rosa, St. Lucie, Taylor, Volusia, Wakulla, Walton)"
"Halodule wrightii","shoalweed","FL(Bay, Brevard, Escambia, Franklin, Gulf, Indian River, Lee, Levy, Martin, Miami-Dade, Monroe, Palm Beach, Pinellas, Santa Rosa, St. Lucie, Taylor, Volusia, Wakulla, Walton)"
"Halophila","seagrass","FL(Brevard, Citrus, Collier, Franklin, Indian River, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Palm Beach, Pasco, Pinellas, St. Lucie, Wakulla)"
"Halophila decipiens","Caribbean seagrass","FL(Brevard, Lee, Miami-Dade, Monroe, Palm Beach, Pasco, Pinellas)"
"Halophila engelmannii","Engelmann's seagrass","FL(Brevard, Citrus, Collier, Franklin, Lee, Levy, Manatee, Martin, Miami-Dade, Palm Beach, Pasco, Pinellas, Wakulla)"
"Halophila johnsonii","Johnson's seagrass","FL(Brevard, Indian River, Martin, Miami-Dade, Palm Beach, St. Lucie)"
"Hamamelis","witchhazel","FL(Alachua, Bay, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Polk, Santa Rosa, St. Johns, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Hamamelis virginiana","American witchhazel","FL(Alachua, Bay, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Polk, Santa Rosa, St. Johns, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Hamelia","hamelia","FL(Brevard, Broward, Collier, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Pasco, Pinellas, Polk, Sumter, Volusia)"
"Hamelia patens","scarletbush","FL(Brevard, Broward, Collier, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Pasco, Pinellas, Polk, Sumter, Volusia)"
"Haplocarpha","onefruit","FL(Hillsborough)"
"Haplocarpha lyrata","harp onefruit","FL(Hillsborough)"
"Harperocallis","harperocallis","FL(Franklin, Liberty)"
"Harperocallis flava","Harper's beauty","FL(Franklin, Liberty)"
"Harpullia","harpullia","FL(Miami-Dade)"
"Harpullia arborea","tulip-wood tree","FL(Miami-Dade)"
"Harrisella","harrisella","FL(Citrus, Collier, DeSoto, Glades, Hernando, Highlands, Hillsborough, Manatee, Orange, Osceola, Palm Beach, Pasco, Polk, Sumter)"
"Harrisella porrecta","needleroot airplant orchid","FL(Citrus, Collier, DeSoto, Glades, Hernando, Highlands, Hillsborough, Manatee, Orange, Osceola, Palm Beach, Pasco, Polk, Sumter)"
"Harrisia","applecactus","FL(Brevard, Charlotte, Collier, Indian River, Lee, Manatee, Miami-Dade, Monroe, Sarasota, St. Lucie, Volusia)"
"Harrisia aboriginum","prickly applecactus","FL(Charlotte, Lee, Manatee, Sarasota)"
"Harrisia fragrans","Caribbean applecactus","FL(Brevard, Indian River, St. Lucie, Volusia)"
"Harrisia simpsonii","Simpson's applecactus","FL(Brevard, Collier, Indian River, Miami-Dade, Monroe, St. Lucie, Volusia)"
"Hartwrightia","hartwrightia","FL(Baker, Clay, Hardee, Highlands, Hillsborough, Lake, Marion, Nassau, Polk, Putnam, Volusia)"
"Hartwrightia floridana","Florida hartwrightia","FL(Baker, Clay, Hardee, Highlands, Hillsborough, Lake, Marion, Nassau, Polk, Putnam, Volusia)"
"Hasteola","false Indian plantain","FL(Lake, Levy)"
"Hasteola robertiorum","hammockherb","FL(Lake, Levy)"
"Hedeoma","false pennyroyal","FL(Calhoun, Escambia, Gadsden, Holmes, Jackson, Liberty, Okaloosa, Walton, Washington)"
"Hedeoma hispida","rough false pennyroyal","FL(Calhoun, Escambia, Gadsden, Holmes, Jackson, Liberty, Okaloosa, Walton, Washington)"
"Hedera","ivy","FL(Alachua, Escambia, Leon, Okaloosa, Santa Rosa, Walton)"
"Hedera helix","English ivy","FL(Alachua, Escambia, Leon, Okaloosa, Santa Rosa, Walton)"
"Hedychium","garland-lily","FL(Alachua, Franklin, Lake, Pasco, Polk, Putnam)"
"Hedychium coronarium","white garland-lily","FL(Alachua, Franklin, Lake, Pasco, Polk, Putnam)"
"Helenium","sneezeweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Helenium amarum","sneezeweed","FL(Alachua, Baker, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Helenium amarum var. amarum","sneezeweed","FL(Alachua, Baker, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Helenium autumnale","common sneezeweed","FL(Calhoun, Franklin, Gadsden, Jackson, Lake, Liberty, Orange, Taylor, Wakulla)"
"Helenium autumnale var. autumnale","common sneezeweed","FL(Calhoun, Franklin, Gadsden, Jackson, Lake, Liberty, Orange, Taylor, Wakulla)"
"Helenium brevifolium","shortleaf sneezeweed","FL(Calhoun, Escambia, Holmes, Okaloosa, Santa Rosa, Walton, Washington)"
"Helenium flexuosum","purplehead sneezeweed","FL(Alachua, Calhoun, Citrus, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Jefferson, Leon, Levy, Marion, Miami-Dade, Nassau, Pasco, Polk, Santa Rosa, Sumter, Wakulla)"
"Helenium pinnatifidum","southeastern sneezeweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Dixie, Duval, Flagler, Franklin, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Lee, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Johns, Sumter, Taylor, Union, Volusia, Wakulla, Walton)"
"Helenium vernale","savannah sneezeweed","FL(Baker, Bay, Bradford, Calhoun, Duval, Franklin, Gulf, Holmes, Liberty, Nassau, Okaloosa, Santa Rosa, Walton, Washington)"
"Helianthemum","frostweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Helianthemum arenicola","coastal sand frostweed","FL(Bay, Escambia, Franklin, Gulf, Okaloosa, Santa Rosa, Walton)"
"Helianthemum carolinianum","Carolina frostweed","FL(Alachua, Citrus, Columbia, Duval, Franklin, Gadsden, Hamilton, Hernando, Holmes, Jackson, Lafayette, Lake, Leon, Levy, Liberty, Marion, Okaloosa, Orange, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Helianthemum corymbosum","pine barren frostweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Helianthemum georgianum","Georgia frostweed","FL(Alachua, Bay, Clay, Escambia, Franklin, Gadsden, Gilchrist, Hernando, Holmes, Leon, Levy, Madison, Marion, Okaloosa, Santa Rosa, Wakulla, Walton, Washington)"
"Helianthemum nashii","Florida scrub frostweed","FL(Alachua, Brevard, Broward, Collier, Flagler, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Martin, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Lucie)"
"Helianthemum rosmarinifolium","rosemary frostweed","FL(Bay, Escambia, Gulf, Jackson, Liberty, Putnam, Wakulla)"
"Helianthus","sunflower","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Helianthus ×glaucus","sunflower","FL(Alachua)"
"Helianthus agrestis","southeastern sunflower","FL(Bradford, Brevard, Charlotte, Collier, Glades, Hendry, Lee, Manatee, Okeechobee, Orange, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Volusia)"
"Helianthus angustifolius","swamp sunflower","FL(Alachua, Bay, Brevard, Calhoun, Charlotte, Citrus, Clay, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Gulf, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton)"
"Helianthus annuus","common sunflower","FL(Citrus, Collier, Duval, Franklin, Gadsden, Lee, Leon, Marion, Miami-Dade, Monroe, Pasco, Polk, Santa Rosa, Sarasota, St. Lucie, Walton)"
"Helianthus argophyllus","silverleaf sunflower","FL(Columbia, Franklin, Leon, Volusia)"
"Helianthus atrorubens","purpledisk sunflower","FL(Jackson)"
"Helianthus carnosus","lakeside sunflower","FL(Clay, Flagler, St. Johns, Volusia)"
